Lead_ID,Created_Date,Owner,Region,Raw_Source,Product_Code,Industry,Company_Size,Deal_Stage,Last_Stage_Date,Close_Date,Expected_Value_USD,Discount_Pct,Stage_Probability,Lost_Reason,Funnel_Level
L00018,2026-06-19,Quynh Vu,North,Cold Email,REV-OPS,Financial Services,Mid-Market,Closed Lost,2026-07-28,2026-07-28,80200.0,0,0.0,Timing,3
L00019,2026-06-18,Tuan Bui,Central,Offline List,MKT-AUTO,Retail,Mid-Market,Demo / Meeting,2026-07-26,,17200.0,0.05,0.4,,3
L00020,2025-02-01,Duy Pham,South,Referral,CRM-PRO,Manufacturing,Mid-Market,Closed Won,2025-02-24,2025-02-24,43800.0,0.08,1.0,,6
L00021,2025-04-06,Duy Pham,South,Outbound,CRM-CORE,Financial Services,SMB,Closed Lost,2025-04-28,2025-04-28,8800.0,0,0.0,Feature Gap,4
L00022,2026-06-05,Bao Tran,South,Google Ads,CRM-CORE,Technology,Mid-Market,Closed Won,2026-07-14,2026-07-14,9100.0,0.05,1.0,,6
L00023,2025-06-08,Quynh Vu,North,Referral,CRM-CORE,Education,Enterprise,Closed Lost,2025-06-27,2025-06-27,17400.0,0,0.0,Competitor,5
L00024,2025-07-18,Bao Tran,South,SDR Outreach,MKT-AUTO,Manufacturing,Mid-Market,Closed Lost,2025-07-26,2025-07-26,19200.0,0,0.0,Budget,4
L00025,2025-02-19,An Nguyen,South,linkedin,CS-CLOUD,Retail,SMB,Negotiation,2026-06-12,,22400.0,0,0.85,,5
L00026,2026-04-27,An Nguyen,South,customer referral,CRM-PRO,Professional Services,Enterprise,Negotiation,2026-06-15,,81700.0,0,0.85,,5
L00027,2026-03-29,Tuan Bui,Central,virtual event,CS-CLOUD,Manufacturing,Mid-Market,Closed Lost,2026-04-06,2026-04-06,49100.0,0,0.0,Price,2
L00028,2025-09-11,Ha Vo,North,LI Ads,MKT-AUTO,Retail,Mid-Market,Closed Lost,2025-10-31,2025-10-31,22500.0,0,0.0,Competitor,5
L00029,2025-11-02,An Nguyen,South,email nurture,CRM-CORE,Professional Services,Mid-Market,Closed Lost,2025-12-20,2025-12-20,8400.0,0,0.0,Price,3
L00030,2026-08-13,Quynh Vu,North,linkedin,CRM-PRO,Manufacturing,Enterprise,Qualified,2026-08-24,,80900.0,0,0.2,,2
L00031,2025-11-27,Duy Pham,South,email nurture,MKT-AUTO,Professional Services,Mid-Market,Closed Lost,2026-01-07,2026-01-07,21200.0,0,0.0,Timing,2
L00032,2025-12-15,Ha Vo,North,google cpc,CRM-CORE,Professional Services,Enterprise,Negotiation,2026-06-12,,26900.0,0.03,0.85,,5
L00033,2025-06-02,Duy Pham,South,SEM - Google,CRM-PRO,Manufacturing,SMB,Closed Lost,2025-07-26,2025-07-26,12600.0,0,0.0,Timing,3
L00034,2025-04-26,An Nguyen,South,Referral,REV-OPS,Professional Services,Mid-Market,Closed Lost,2025-05-24,2025-05-24,48900.0,0,0.0,No Decision,4
L00035,2025-09-12,Duy Pham,South,customer referral,MKT-AUTO,Retail,SMB,Closed Won,2025-10-26,2025-10-26,12800.0,0.08,1.0,,6
L00036,2025-10-02,An Nguyen,South,Conference Scan,BI-PLUS,Retail,Mid-Market,Closed Won,2025-10-14,2025-10-14,43600.0,0.03,1.0,,6
L00037,2026-02-17,Quynh Vu,North,Google Ads,MKT-AUTO,Manufacturing,Mid-Market,Negotiation,2026-06-28,,36600.0,0.05,0.85,,5
L00038,2026-05-07,Tuan Bui,Central,customer referral,CRM-CORE,Healthcare,Mid-Market,Closed Lost,2026-07-07,2026-07-07,10800.0,0,0.0,No Decision,5
L00039,2025-11-01,An Nguyen,South,LI Ads,CRM-CORE,Manufacturing,SMB,Closed Lost,2025-12-05,2025-12-05,4700.0,0,0.0,No Decision,4
L00040,2026-05-10,Bao Tran,South,SEO,CRM-CORE,Education,SMB,Closed Lost,2026-07-16,2026-07-16,4600.0,0,0.0,Price,3
L00041,2025-10-24,Duy Pham,South,Cold Email,CRM-CORE,Retail,Mid-Market,Closed Won,2025-12-25,2025-12-25,13200.0,0.08,1.0,,6
L00042,2026-07-18,Ha Vo,North,organic search,CRM-PRO,Retail,Mid-Market,Demo / Meeting,2026-08-18,,38800.0,0,0.4,,3
L00043,2026-04-17,Tuan Bui,Central,SEM - Google,CRM-PRO,Professional Services,SMB,Closed Lost,2026-06-06,2026-06-06,24800.0,0,0.0,Budget,2
L00044,2026-01-02,Bao Tran,South,Google Ads,CS-CLOUD,Manufacturing,SMB,Closed Lost,2026-02-27,2026-02-27,14900.0,0,0.0,Budget,5
L00045,2025-10-27,Quynh Vu,North,LI Ads,CRM-CORE,Professional Services,SMB,Closed Won,2025-11-26,2025-11-26,8000.0,0.08,1.0,,6
L00046,2025-02-10,Quynh Vu,North,organic search,REV-OPS,Technology,SMB,Closed Lost,2025-03-03,2025-03-03,39100.0,0,0.0,No Decision,3
L00047,2026-01-14,An Nguyen,South,LinkedIn Ads,CRM-CORE,Healthcare,Mid-Market,Closed Won,2026-02-28,2026-02-28,18000.0,0.12,1.0,,6
L00048,2025-07-19,Minh Do,North,LinkedIn Ads,CRM-CORE,Financial Services,SMB,Closed Lost,2025-09-15,2025-09-15,8200.0,0,0.0,Price,2
L00049,2025-01-24,Bao Tran,South,newsletter,MKT-AUTO,Manufacturing,SMB,Closed Lost,2025-03-27,2025-03-27,11000.0,0,0.0,Budget,3
L00050,2026-05-18,Ha Vo,North,LI Ads,BI-PLUS,Retail,Mid-Market,Demo / Meeting,2026-07-03,,48300.0,0,0.4,,3
L00051,2025-02-18,Chi Le,South,Google Ads,MKT-AUTO,Technology,SMB,Closed Won,2025-04-14,2025-04-14,13900.0,0.1,1.0,,6
L00052,2025-02-13,An Nguyen,South,SDR Outreach,MKT-AUTO,Professional Services,SMB,Closed Lost,2025-04-09,2025-04-09,12400.0,0,0.0,Competitor,3
L00053,2026-02-02,An Nguyen,South,SEO,CRM-PRO,Technology,SMB,Closed Won,2026-05-31,2026-05-31,15500.0,0.1,1.0,,6
L00054,2026-05-07,Bao Tran,South,linkedin,CRM-PRO,Retail,SMB,Demo / Meeting,2026-08-01,,20200.0,0,0.4,,3
L00055,2025-08-30,Duy Pham,South,SEO,CS-CLOUD,Technology,Enterprise,Negotiation,2026-05-20,,65000.0,0,0.85,,5
L00056,2026-02-24,Ha Vo,North,linkedin,REV-OPS,Manufacturing,Enterprise,Closed Lost,2026-04-26,2026-04-26,119000.0,0,0.0,Feature Gap,4
L00057,2025-02-23,Bao Tran,South,SEO,CRM-CORE,Retail,Mid-Market,Closed Lost,2025-03-27,2025-03-27,14300.0,0,0.0,Timing,3
L00058,2026-07-23,Tuan Bui,Central,linkedin,MKT-AUTO,Healthcare,SMB,Qualified,2026-08-17,,13800.0,0.03,0.2,,2
L00059,2025-03-05,Tuan Bui,Central,Email Campaign,BI-PLUS,Technology,Mid-Market,Closed Won,2025-04-09,2025-04-09,44300.0,0.12,1.0,,6
L00060,2026-04-18,Duy Pham,South,virtual event,CRM-PRO,Education,SMB,Closed Lost,2026-06-09,2026-06-09,14100.0,0,0.0,No Decision,5
L00061,2025-09-19,Bao Tran,South,Referral,CRM-CORE,Financial Services,SMB,Closed Lost,2025-11-17,2025-11-17,9300.0,0,0.0,Timing,4
L00062,2025-09-12,Ha Vo,North,Google Ads,REV-OPS,Professional Services,SMB,Closed Lost,2025-10-03,2025-10-03,41400.0,0,0.0,Price,5
L00063,2026-02-02,Quynh Vu,North,organic search,CRM-CORE,Retail,SMB,Closed Lost,2026-03-20,2026-03-20,5700.0,0,0.0,No Decision,4
L00064,2026-03-14,Duy Pham,South,Partner Referral,CS-CLOUD,Professional Services,SMB,Closed Won,2026-05-09,2026-05-09,27700.0,0.12,1.0,,6
L00065,2026-07-24,Minh Do,North,organic search,MKT-AUTO,Education,Enterprise,Demo / Meeting,2026-08-17,,35700.0,0,0.4,,3
L00066,2025-11-26,Quynh Vu,North,google cpc,BI-PLUS,Manufacturing,SMB,Closed Lost,2026-01-05,2026-01-05,13900.0,0,0.0,Timing,3
L00067,2025-05-07,An Nguyen,South,customer referral,CRM-PRO,Financial Services,Mid-Market,Closed Won,2025-06-24,2025-06-24,21400.0,0.08,1.0,,6
L00068,2025-10-05,Minh Do,North,SDR Outreach,BI-PLUS,Healthcare,Mid-Market,Closed Lost,2025-10-31,2025-10-31,29300.0,0,0.0,No Decision,2
L00069,2026-04-22,Ha Vo,North,Outbound,CRM-CORE,Technology,SMB,Closed Lost,2026-07-03,2026-07-03,9100.0,0,0.0,Budget,5
L00070,2026-02-17,Minh Do,North,organic search,CS-CLOUD,Professional Services,SMB,Closed Lost,2026-04-26,2026-04-26,26300.0,0,0.0,Price,4
L00071,2025-03-07,An Nguyen,South,SEO,CRM-CORE,Manufacturing,SMB,Closed Won,2025-05-21,2025-05-21,6500.0,0,1.0,,6
L00072,2026-06-11,Chi Le,South,SEM - Google,CS-CLOUD,Retail,SMB,Demo / Meeting,2026-07-15,,22300.0,0,0.4,,3
L00073,2025-03-28,Chi Le,South,google cpc,MKT-AUTO,Professional Services,SMB,Closed Lost,2025-05-18,2025-05-18,18000.0,0,0.0,Price,5
L00074,2025-02-07,Ha Vo,North,SDR Outreach,CRM-PRO,Professional Services,SMB,Negotiation,2025-09-26,,14700.0,0.03,0.85,,5
L00075,2026-07-18,Minh Do,North,LI Ads,BI-PLUS,Retail,SMB,Closed Lost,2026-08-22,2026-08-22,17600.0,0,0.0,Price,4
L00076,2026-07-15,Duy Pham,South,Google Ads,CRM-CORE,Financial Services,Enterprise,Closed Won,2026-09-01,2026-09-01,20000.0,0,1.0,,6
L00077,2025-12-16,Minh Do,North,SEO,MKT-AUTO,Technology,Mid-Market,Negotiation,2026-05-26,,29300.0,0.05,0.85,,5
L00078,2026-06-14,Tuan Bui,Central,linkedin,CS-CLOUD,Healthcare,SMB,Closed Lost,2026-08-03,2026-08-03,22700.0,0,0.0,No Decision,5
L00079,2025-09-09,Tuan Bui,Central,SEO,BI-PLUS,Professional Services,SMB,Closed Won,2025-11-08,2025-11-08,14700.0,0,1.0,,6
L00080,2026-06-19,Quynh Vu,North,Offline List,CRM-CORE,Healthcare,Mid-Market,Closed Lost,2026-08-16,2026-08-16,18000.0,0,0.0,Competitor,5
L00081,2026-06-24,Quynh Vu,North,LinkedIn Ads,MKT-AUTO,Professional Services,Mid-Market,Demo / Meeting,2026-08-12,,20100.0,0.05,0.4,,3
L00082,2026-04-21,Duy Pham,South,Google Ads,CRM-PRO,Education,SMB,Closed Won,2026-06-28,2026-06-28,18000.0,0.1,1.0,,6
L00083,2025-02-13,Quynh Vu,North,Partner Referral,CS-CLOUD,Financial Services,Mid-Market,Negotiation,2025-09-13,,36100.0,0.05,0.85,,5
L00084,2026-08-31,Chi Le,South,google cpc,CRM-CORE,Technology,SMB,New,2026-09-01,,4500.0,0.05,0.05,,1
L00085,2026-04-23,Duy Pham,South,Cold Email,MKT-AUTO,Technology,SMB,Closed Lost,2026-06-06,2026-06-06,13400.0,0,0.0,Competitor,4
L00086,2025-05-05,Ha Vo,North,customer referral,MKT-AUTO,Healthcare,SMB,Closed Lost,2025-06-20,2025-06-20,15600.0,0,0.0,Competitor,5
L00087,2026-01-20,Chi Le,South,SDR Outreach,CRM-CORE,Financial Services,SMB,Closed Lost,2026-03-24,2026-03-24,7600.0,0,0.0,No Decision,3
L00088,2025-02-06,Ha Vo,North,SEM - Google,MKT-AUTO,Healthcare,SMB,Closed Won,2025-03-13,2025-03-13,17500.0,0.03,1.0,,6
L00089,2026-01-02,Quynh Vu,North,Email Campaign,CRM-CORE,Retail,Mid-Market,Closed Lost,2026-01-14,2026-01-14,16200.0,0,0.0,No Decision,3
L00090,2025-12-16,Chi Le,South,SEO,REV-OPS,Retail,Enterprise,Closed Won,2026-02-19,2026-02-19,74500.0,0.12,1.0,,6
L00091,2025-08-04,Minh Do,North,SEO,CRM-CORE,Retail,SMB,Negotiation,2026-03-16,,6700.0,0,0.85,,5
L00092,2025-06-14,Tuan Bui,Central,Google Ads,CS-CLOUD,Education,SMB,Closed Lost,2025-07-02,2025-07-02,27100.0,0,0.0,Price,2
L00093,2025-02-13,Quynh Vu,North,email nurture,CS-CLOUD,Financial Services,Mid-Market,Closed Won,2025-03-06,2025-03-06,32900.0,0.03,1.0,,6
L00094,2025-02-01,An Nguyen,South,SEO,CRM-CORE,Retail,Enterprise,Closed Won,2025-04-27,2025-04-27,17600.0,0.05,1.0,,6
L00095,2025-01-26,Tuan Bui,Central,LI Ads,CRM-CORE,Professional Services,SMB,Closed Lost,2025-04-15,2025-04-15,9600.0,0,0.0,Price,4
L00096,2026-03-20,Chi Le,South,Unknown Event,BI-PLUS,Financial Services,Enterprise,Closed Won,2026-06-27,2026-06-27,86700.0,0.08,1.0,,6
L00097,2025-10-09,Minh Do,North,Webinar,MKT-AUTO,Retail,Enterprise,Closed Lost,2026-01-03,2026-01-03,33500.0,0,0.0,Budget,3
L00098,2026-01-03,Quynh Vu,North,SEO,MKT-AUTO,Manufacturing,SMB,Closed Lost,2026-02-24,2026-02-24,15900.0,0,0.0,Timing,2
L00099,2025-03-19,Quynh Vu,North,Outbound,MKT-AUTO,Manufacturing,Enterprise,Closed Lost,2025-04-15,2025-04-15,65100.0,0,0.0,Price,3
L00100,2026-05-06,Quynh Vu,North,LinkedIn Ads,REV-OPS,Technology,Enterprise,Closed Lost,2026-06-25,2026-06-25,101200.0,0,0.0,Price,2
L00101,2025-04-28,Minh Do,North,email nurture,REV-OPS,Financial Services,Mid-Market,Closed Won,2025-05-21,2025-05-21,82500.0,0.08,1.0,,6
L00102,2025-08-24,Duy Pham,South,organic search,CS-CLOUD,Healthcare,Mid-Market,Closed Lost,2025-09-01,2025-09-01,23400.0,0,0.0,No Decision,2
L00103,2025-12-28,Quynh Vu,North,Google Organic,BI-PLUS,Manufacturing,SMB,Closed Lost,2026-01-14,2026-01-14,20100.0,0,0.0,No Decision,4
L00104,2026-04-30,Duy Pham,South,Google Organic,MKT-AUTO,Technology,SMB,Closed Won,2026-07-05,2026-07-05,16500.0,0.05,1.0,,6
L00105,2026-06-30,Tuan Bui,Central,LI Ads,MKT-AUTO,Manufacturing,SMB,Qualified,2026-08-22,,12100.0,0,0.2,,2
L00106,2026-08-25,Quynh Vu,North,SEM - Google,BI-PLUS,Technology,SMB,New,2026-08-27,,16500.0,0.05,0.05,,1
L00107,2025-09-08,Chi Le,South,google cpc,CRM-PRO,Healthcare,Enterprise,Negotiation,2026-06-20,,72000.0,0,0.85,,5
L00108,2025-07-05,Chi Le,South,SEO,CRM-CORE,Manufacturing,SMB,Closed Lost,2025-08-07,2025-08-07,9900.0,0,0.0,Competitor,3
L00109,2026-02-25,Quynh Vu,North,virtual event,BI-PLUS,Education,Enterprise,Closed Won,2026-04-11,2026-04-11,97600.0,0.05,1.0,,6
L00110,2025-09-14,An Nguyen,South,newsletter,MKT-AUTO,Healthcare,SMB,Closed Won,2025-11-17,2025-11-17,17500.0,0.08,1.0,,6
L00111,2026-02-05,Quynh Vu,North,google cpc,CS-CLOUD,Retail,Mid-Market,Closed Won,2026-04-09,2026-04-09,47900.0,0.1,1.0,,6
L00112,2026-04-17,Duy Pham,South,Email Campaign,CRM-PRO,Manufacturing,Enterprise,Proposal,2026-07-14,,48800.0,0,0.65,,4
L00113,2025-06-06,Minh Do,North,customer referral,REV-OPS,Education,Enterprise,Closed Lost,2025-07-24,2025-07-24,146800.0,0,0.0,Budget,2
L00114,2025-12-04,Bao Tran,South,SDR Outreach,MKT-AUTO,Technology,SMB,Negotiation,2026-04-30,,14700.0,0,0.85,,5
L00115,2025-12-04,Tuan Bui,Central,Partner Referral,CS-CLOUD,Healthcare,SMB,Closed Won,2026-02-13,2026-02-13,12800.0,0.12,1.0,,6
L00116,2025-08-05,An Nguyen,South,Email Campaign,CS-CLOUD,Financial Services,Enterprise,Negotiation,2026-04-15,,90700.0,0,0.85,,5
L00117,2025-07-03,Chi Le,South,Google Ads,MKT-AUTO,Professional Services,Mid-Market,Negotiation,2025-12-08,,20100.0,0,0.85,,5
L00118,2025-11-09,Quynh Vu,North,linkedin,BI-PLUS,Retail,Mid-Market,Negotiation,2026-06-24,,23100.0,0.03,0.85,,5
L00119,2026-08-04,Minh Do,North,LI Ads,CRM-PRO,Professional Services,Mid-Market,Qualified,2026-08-28,,39700.0,0,0.2,,2
L00120,2025-12-19,Minh Do,North,SDR Outreach,CRM-PRO,Education,Mid-Market,Negotiation,2026-07-31,,32900.0,0.03,0.85,,5
L00121,2025-10-21,Bao Tran,South,email nurture,CRM-CORE,Professional Services,Mid-Market,Closed Lost,2025-12-27,2025-12-27,10200.0,0,0.0,Competitor,2
L00122,2026-02-19,Minh Do,North,google cpc,BI-PLUS,Technology,Mid-Market,Closed Won,2026-04-02,2026-04-02,32600.0,0.12,1.0,,6
L00123,2025-10-14,Ha Vo,North,LI Ads,BI-PLUS,Healthcare,SMB,Closed Lost,2025-11-20,2025-11-20,28200.0,0,0.0,Budget,5
L00124,2025-01-31,Bao Tran,South,SEM - Google,BI-PLUS,Education,SMB,Closed Won,2025-04-19,2025-04-19,27300.0,0.05,1.0,,6
L00125,2025-05-05,Quynh Vu,North,google cpc,CS-CLOUD,Financial Services,SMB,Closed Lost,2025-05-26,2025-05-26,26500.0,0,0.0,Price,4
L00126,2025-09-06,Minh Do,North,Unknown Event,REV-OPS,Retail,Mid-Market,Closed Lost,2025-11-05,2025-11-05,52300.0,0,0.0,Competitor,3
L00127,2025-03-31,Duy Pham,South,virtual event,CRM-CORE,Education,SMB,Closed Lost,2025-06-02,2025-06-02,8400.0,0,0.0,Competitor,3
L00128,2025-01-27,Tuan Bui,Central,email nurture,CRM-CORE,Professional Services,SMB,Closed Lost,2025-02-26,2025-02-26,4900.0,0,0.0,Competitor,5
L00129,2026-01-27,Chi Le,South,SEM - Google,CRM-PRO,Retail,Enterprise,Closed Lost,2026-03-03,2026-03-03,86800.0,0,0.0,Competitor,2
L00130,2026-02-28,Bao Tran,South,Partner Referral,CRM-PRO,Healthcare,SMB,Closed Won,2026-04-22,2026-04-22,11100.0,0,1.0,,6
L00131,2025-03-24,An Nguyen,South,SEM - Google,CRM-CORE,Education,Mid-Market,Closed Lost,2025-06-09,2025-06-09,16800.0,0,0.0,No Decision,4
L00132,2025-03-21,Ha Vo,North,Google Ads,CRM-CORE,Financial Services,SMB,Closed Lost,2025-04-15,2025-04-15,5000.0,0,0.0,Price,3
L00133,2025-12-18,Quynh Vu,North,google cpc,CRM-CORE,Retail,Mid-Market,Closed Lost,2026-01-07,2026-01-07,18100.0,0,0.0,No Decision,4
L00134,2025-04-06,Tuan Bui,Central,SDR Outreach,CS-CLOUD,Retail,Mid-Market,Closed Lost,2025-04-29,2025-04-29,24500.0,0,0.0,Price,2
L00135,2026-06-15,Tuan Bui,Central,Google Organic,REV-OPS,Healthcare,Mid-Market,Closed Lost,2026-07-15,2026-07-15,78300.0,0,0.0,Competitor,3
L00136,2025-09-26,Bao Tran,South,Cold Email,CS-CLOUD,Technology,SMB,Closed Lost,2025-11-07,2025-11-07,19700.0,0,0.0,No Decision,2
L00137,2025-11-18,Minh Do,North,LinkedIn Ads,BI-PLUS,Financial Services,Enterprise,Closed Lost,2026-02-06,2026-02-06,94100.0,0,0.0,Competitor,3
L00138,2025-10-12,An Nguyen,South,organic search,CRM-CORE,Professional Services,SMB,Negotiation,2026-07-14,,5300.0,0.05,0.85,,5
L00139,2026-04-28,Ha Vo,North,Google Organic,REV-OPS,Education,SMB,Closed Lost,2026-06-27,2026-06-27,48100.0,0,0.0,Competitor,5
L00140,2025-12-15,Tuan Bui,Central,Referral,CRM-PRO,Education,Mid-Market,Closed Lost,2026-01-28,2026-01-28,22200.0,0,0.0,No Decision,4
L00141,2026-02-02,An Nguyen,South,SEM - Google,CS-CLOUD,Professional Services,Mid-Market,Negotiation,2026-05-15,,36100.0,0.03,0.85,,5
L00142,2025-07-20,Ha Vo,North,Partner Referral,REV-OPS,Healthcare,Mid-Market,Closed Won,2025-10-15,2025-10-15,63900.0,0.12,1.0,,6
L00143,2026-06-12,Bao Tran,South,Partner Referral,CRM-CORE,Education,SMB,Demo / Meeting,2026-07-14,,5700.0,0.03,0.4,,3
L00144,2025-08-19,Tuan Bui,Central,Unknown Event,CS-CLOUD,Retail,SMB,Closed Lost,2025-10-27,2025-10-27,12500.0,0,0.0,Budget,5
L00145,2025-12-19,Ha Vo,North,organic search,CRM-PRO,Education,SMB,Closed Lost,2026-01-27,2026-01-27,21800.0,0,0.0,No Decision,3
L00146,2026-06-17,An Nguyen,South,SDR Outreach,CRM-CORE,Education,SMB,Demo / Meeting,2026-08-08,,9300.0,0.05,0.4,,3
L00147,2026-07-03,Quynh Vu,North,Outbound,REV-OPS,Professional Services,SMB,Qualified,2026-08-04,,27200.0,0,0.2,,2
L00148,2025-05-08,Quynh Vu,North,SEM - Google,CRM-CORE,Healthcare,Enterprise,Closed Lost,2025-06-04,2025-06-04,22500.0,0,0.0,Competitor,3
L00149,2026-01-06,Quynh Vu,North,Referral,CRM-CORE,Retail,Enterprise,Closed Lost,2026-02-07,2026-02-07,20800.0,0,0.0,No Decision,4
L00150,2026-06-28,Bao Tran,South,Referral,CS-CLOUD,Healthcare,Mid-Market,Qualified,2026-08-03,,45000.0,0.05,0.2,,2
L00151,2025-03-31,Tuan Bui,Central,email nurture,CRM-CORE,Manufacturing,SMB,Closed Won,2025-05-01,2025-05-01,8400.0,0.1,1.0,,6
L00152,2025-06-27,Ha Vo,North,Referral,CRM-PRO,Manufacturing,SMB,Closed Lost,2025-08-24,2025-08-24,13900.0,0,0.0,Price,5
L00153,2026-08-16,Tuan Bui,Central,Referral,CS-CLOUD,Education,SMB,Qualified,2026-08-25,,16500.0,0,0.2,,2
L00154,2025-04-08,Ha Vo,North,LinkedIn Ads,CRM-PRO,Education,Mid-Market,Closed Lost,2025-06-09,2025-06-09,44800.0,0,0.0,Competitor,4
L00155,2026-01-05,Tuan Bui,Central,customer referral,CRM-PRO,Manufacturing,SMB,Closed Lost,2026-02-27,2026-02-27,16400.0,0,0.0,Budget,2
L00156,2025-03-14,Quynh Vu,North,Google Organic,CRM-CORE,Financial Services,Mid-Market,Closed Won,2025-04-02,2025-04-02,16400.0,0.1,1.0,,6
L00157,2025-07-06,Tuan Bui,Central,SEO,CRM-PRO,Professional Services,Enterprise,Closed Lost,2025-07-27,2025-07-27,68700.0,0,0.0,Feature Gap,4
L00158,2025-07-09,Duy Pham,South,Email Campaign,CRM-PRO,Manufacturing,SMB,Closed Lost,2025-08-01,2025-08-01,21800.0,0,0.0,Budget,5
L00159,2025-05-14,Tuan Bui,Central,google cpc,CS-CLOUD,Manufacturing,Mid-Market,Closed Lost,2025-07-11,2025-07-11,29300.0,0,0.0,Price,5
L00160,2025-04-25,Duy Pham,South,Referral,BI-PLUS,Education,SMB,Negotiation,2025-10-27,,26700.0,0,0.85,,5
L00161,2026-04-22,Quynh Vu,North,SEM - Google,BI-PLUS,Professional Services,SMB,Closed Lost,2026-05-29,2026-05-29,26100.0,0,0.0,Budget,2
L00162,2025-01-22,Duy Pham,South,LinkedIn Ads,CRM-PRO,Healthcare,Mid-Market,Closed Lost,2025-03-15,2025-03-15,42600.0,0,0.0,Budget,5
L00163,2026-07-05,Ha Vo,North,Cold Email,BI-PLUS,Healthcare,SMB,Qualified,2026-08-11,,13100.0,0,0.2,,2
L00164,2026-08-18,Tuan Bui,Central,Webinar,BI-PLUS,Retail,SMB,New,2026-08-24,,20400.0,0.05,0.05,,1
L00165,2026-06-03,Quynh Vu,North,Google Ads,CRM-PRO,Technology,SMB,Closed Lost,2026-08-02,2026-08-02,18700.0,0,0.0,Price,4
L00166,2025-09-24,Ha Vo,North,Webinar,CRM-CORE,Manufacturing,SMB,Negotiation,2026-04-13,,6600.0,0.03,0.85,,5
L00167,2025-12-02,Duy Pham,South,SEM - Google,CRM-CORE,Healthcare,Mid-Market,Negotiation,2026-04-25,,11500.0,0,0.85,,5
L00168,2026-03-25,An Nguyen,South,newsletter,CRM-CORE,Technology,Mid-Market,Closed Lost,2026-05-09,2026-05-09,10300.0,0,0.0,Feature Gap,5
L00169,2025-06-04,Minh Do,North,Partner Referral,CRM-PRO,Financial Services,Mid-Market,Closed Lost,2025-06-23,2025-06-23,40900.0,0,0.0,Timing,5
L00170,2025-02-16,Ha Vo,North,customer referral,REV-OPS,Manufacturing,SMB,Closed Lost,2025-04-08,2025-04-08,34900.0,0,0.0,Competitor,3
L00171,2026-03-10,Minh Do,North,LinkedIn Ads,BI-PLUS,Technology,SMB,Closed Won,2026-04-12,2026-04-12,27100.0,0.12,1.0,,6
L00172,2026-03-06,Quynh Vu,North,organic search,CS-CLOUD,Financial Services,SMB,Closed Lost,2026-05-12,2026-05-12,20900.0,0,0.0,Timing,5
