Source,Target,Type,Weight
21527,22072,Undirected,124
21531,21533,Undirected,187
20914,21533,Undirected,113
21533,21535,Undirected,319
21533,21844,Undirected,107
21533,22073,Undirected,100
21531,21535,Undirected,305
21531,21844,Undirected,104
20676,21238,Undirected,236
20676,21242,Undirected,205
20914,21535,Undirected,139
21238,21242,Undirected,253
21238,POST,Undirected,108
21535,21844,Undirected,126
21535,22073,Undirected,101
15056BL,15056N,Undirected,345
21122,21124,Undirected,308
22029,22037,Undirected,153
21429,21431,Undirected,107
71477,85123A,Undirected,175
82486,85123A,Undirected,338
21034,85123A,Undirected,269
85049C,85049D,Undirected,121
21980,21985,Undirected,114
21212,22083,Undirected,115
21212,22077,Undirected,124
22070,22071,Undirected,106
22077,85049C,Undirected,133
84836,84970S,Undirected,136
22086,84879,Undirected,102
22139,84879,Undirected,137
20685,84879,Undirected,104
20685,48184,Undirected,187
20914,22139,Undirected,117
20914,22197,Undirected,114
22272,22273,Undirected,110
21231,21232,Undirected,639
21232,48185,Undirected,107
21232,47591D,Undirected,106
22169,82494L,Undirected,103
48185,48194,Undirected,198
48188,48194,Undirected,157
48129,48194,Undirected,141
21484,22111,Undirected,150
21484,21485,Undirected,168
21212,47591D,Undirected,113
22195,22196,Undirected,186
20725,22138,Undirected,100
21930,85099B,Undirected,375
21930,85099C,Undirected,253
20724,21930,Undirected,104
20727,21930,Undirected,221
20726,21930,Undirected,119
20725,21930,Undirected,187
85099B,85099C,Undirected,670
20719,85099B,Undirected,178
20727,85099B,Undirected,340
22356,85099C,Undirected,105
20724,85099C,Undirected,138
20727,85099C,Undirected,178
20726,85099C,Undirected,107
20725,85099C,Undirected,241
20719,22356,Undirected,304
20719,20724,Undirected,406
20719,20727,Undirected,144
20719,20726,Undirected,177
20719,20725,Undirected,177
20727,22356,Undirected,180
20724,20727,Undirected,212
20726,20727,Undirected,443
20725,20727,Undirected,716
22271,22273,Undirected,250
22147,22271,Undirected,126
22147,22273,Undirected,112
22079,22080,Undirected,126
22147,22150,Undirected,217
22147,22274,Undirected,100
21086,21094,Undirected,402
21558,21559,Undirected,195
21559,22352,Undirected,251
21558,22352,Undirected,139
22302,22303,Undirected,221
21900,21901,Undirected,233
21901,21902,Undirected,177
21900,21902,Undirected,156
84997A,84997D,Undirected,254
84997A,84997C,Undirected,234
84997B,84997D,Undirected,356
84997B,84997C,Undirected,387
21479,22111,Undirected,132
21731,85099B,Undirected,130
20719,21731,Undirected,110
22352,22353,Undirected,102
22352,85099B,Undirected,117
20685,21212,Undirected,130
20685,85099B,Undirected,219
21210,21212,Undirected,295
21212,85099B,Undirected,261
21212,POST,Undirected,152
20712,85099B,Undirected,429
20711,85099B,Undirected,337
85099B,POST,Undirected,122
20712,20719,Undirected,161
20719,POST,Undirected,197
20711,20712,Undirected,194
20712,POST,Undirected,128
84879,84946,Undirected,210
20978,20979,Undirected,112
22111,22113,Undirected,182
47566,85099B,Undirected,173
21156,47591D,Undirected,162
21908,85150,Undirected,106
21976,84992,Undirected,102
22296,22297,Undirected,173
22294,22295,Undirected,155
21888,21912,Undirected,140
84509A,84510A,Undirected,103
21175,85150,Undirected,196
21175,21232,Undirected,100
47591D,84991,Undirected,146
85049A,85049E,Undirected,134
21385,85123A,Undirected,128
22151,85123A,Undirected,100
21929,85099F,Undirected,325
21928,85099F,Undirected,330
85099F,85123A,Undirected,164
22113,85123A,Undirected,143
21216,21218,Undirected,163
21243,21244,Undirected,172
21240,21244,Undirected,198
21238,21244,Undirected,147
21239,21244,Undirected,148
20677,21244,Undirected,133
21240,21243,Undirected,163
21238,21243,Undirected,135
21239,21243,Undirected,183
20677,21243,Undirected,174
20675,21243,Undirected,133
21499,21500,Undirected,198
21498,21500,Undirected,169
21498,21499,Undirected,203
21217,21218,Undirected,110
21238,21240,Undirected,267
21239,21240,Undirected,295
20677,21240,Undirected,169
20675,21240,Undirected,207
21238,21239,Undirected,251
20677,21238,Undirected,155
20675,21238,Undirected,172
20677,21239,Undirected,197
20675,21239,Undirected,168
20675,20677,Undirected,235
21231,84991,Undirected,106
21213,21975,Undirected,245
21975,21977,Undirected,312
21212,21975,Undirected,381
21975,84991,Undirected,352
21213,21977,Undirected,226
21212,21213,Undirected,365
21213,84991,Undirected,251
21212,21977,Undirected,583
21733,21755,Undirected,116
22295,85123A,Undirected,187
21755,85123A,Undirected,365
21756,85123A,Undirected,117
20685,85123A,Undirected,221
48194,85123A,Undirected,193
20685,48194,Undirected,253
20685,48173C,Undirected,141
20685,48116,Undirected,102
48173C,48194,Undirected,109
21181,22112,Undirected,138
22112,22113,Undirected,166
20675,20676,Undirected,237
21931,85099C,Undirected,425
21929,21931,Undirected,336
20726,21931,Undirected,173
20725,21931,Undirected,334
21929,85099C,Undirected,257
21232,37448,Undirected,144
21232,22055,Undirected,157
20725,21232,Undirected,157
21231,22064,Undirected,138
20725,82482,Undirected,120
21121,21122,Undirected,244
21121,21124,Undirected,210
22189,82482,Undirected,115
82482,85099B,Undirected,142
20982,20983,Undirected,156
85099B,85099F,Undirected,725
18098c,DOT,Undirected,110
22086,22144,Undirected,108
22149,22273,Undirected,129
21328,21329,Undirected,109
22055,DOT,Undirected,108
21931,DOT,Undirected,131
20712,20713,Undirected,249
20713,21931,Undirected,326
20711,20713,Undirected,162
20713,85099B,Undirected,408
20712,21931,Undirected,319
21931,85099B,Undirected,761
21232,21527,Undirected,100
84378,84380,Undirected,258
22112,84029G,Undirected,165
22111,84029G,Undirected,142
48111,48188,Undirected,153
20723,20724,Undirected,410
20712,20724,Undirected,125
20724,21232,Undirected,109
20724,21212,Undirected,175
20718,20724,Undirected,162
20723,85099B,Undirected,200
21080,85099B,Undirected,221
84991,85099B,Undirected,157
21232,85099B,Undirected,182
20718,85099B,Undirected,272
20725,21156,Undirected,112
20723,20725,Undirected,202
20712,20725,Undirected,154
20725,21080,Undirected,172
20725,84991,Undirected,165
20725,84992,Undirected,103
20725,21212,Undirected,282
20718,20725,Undirected,192
21156,21212,Undirected,102
20719,20723,Undirected,254
20723,85123A,Undirected,114
20723,20727,Undirected,156
20723,20726,Undirected,128
21080,85123A,Undirected,157
21231,85123A,Undirected,182
84991,85123A,Undirected,195
22138,85123A,Undirected,154
21232,85123A,Undirected,325
20727,85123A,Undirected,214
84029E,85123A,Undirected,156
84992,85123A,Undirected,136
21212,85123A,Undirected,225
20712,20727,Undirected,100
20712,20726,Undirected,160
21212,84380,Undirected,105
21080,84991,Undirected,171
21080,21232,Undirected,103
21080,84992,Undirected,107
21080,21212,Undirected,337
20727,84991,Undirected,107
84991,84992,Undirected,353
21212,22138,Undirected,182
20727,21232,Undirected,116
20727,21212,Undirected,142
20718,20727,Undirected,104
20726,21212,Undirected,110
21479,84029E,Undirected,119
21212,84992,Undirected,373
20718,21212,Undirected,122
21481,22111,Undirected,146
21481,21484,Undirected,110
22113,22114,Undirected,117
21479,22114,Undirected,100
20685,48185,Undirected,149
20685,85099C,Undirected,103
21621,85099B,Undirected,103
22189,82494L,Undirected,119
82482,82494L,Undirected,759
20723,22356,Undirected,308
20685,21524,Undirected,189
20685,21955,Undirected,113
20685,48187,Undirected,225
20685,48188,Undirected,127
21524,21955,Undirected,101
21524,48184,Undirected,143
21524,48187,Undirected,241
21524,85123A,Undirected,160
48184,48187,Undirected,207
48184,85123A,Undirected,133
48187,48188,Undirected,139
48187,85123A,Undirected,217
21621,85123A,Undirected,175
82580,82583,Undirected,120
82583,85123A,Undirected,133
82551,82583,Undirected,105
82578,82580,Undirected,245
82580,82581,Undirected,355
82580,85123A,Undirected,145
82578,82581,Undirected,206
82581,85123A,Undirected,104
22173,85123A,Undirected,171
84406B,85123A,Undirected,190
21136,84879,Undirected,417
20713,85099F,Undirected,231
21931,85099F,Undirected,399
21212,21931,Undirected,132
21212,85099F,Undirected,115
21212,21535,Undirected,134
21212,22139,Undirected,133
21136,85123A,Undirected,143
15056BL,20679,Undirected,312
15056N,20679,Undirected,247
22191,22193,Undirected,196
22192,22193,Undirected,198
22191,22192,Undirected,208
21411,85123A,Undirected,119
22297,85123A,Undirected,156
21975,84992,Undirected,252
21977,84992,Undirected,294
20676,84997B,Undirected,124
21238,21241,Undirected,126
21238,84997B,Undirected,121
21212,84997B,Undirected,106
20914,22138,Undirected,121
21086,21212,Undirected,139
21094,21212,Undirected,148
21539,21843,Undirected,127
21535,21843,Undirected,164
21527,21843,Undirected,163
21218,21843,Undirected,108
21217,21843,Undirected,154
21212,21843,Undirected,242
20914,21843,Undirected,167
21843,21977,Undirected,115
21843,84991,Undirected,115
21212,21217,Undirected,131
20914,21212,Undirected,241
21212,84987,Undirected,128
20914,21977,Undirected,109
20914,84991,Undirected,135
21977,84987,Undirected,106
84987,84991,Undirected,220
84970S,85123A,Undirected,256
22178,84970S,Undirected,110
20679,85123A,Undirected,106
22079,22082,Undirected,143
84946,84947,Undirected,177
21733,82483,Undirected,112
21733,21754,Undirected,114
21080,21843,Undirected,121
21843,85123A,Undirected,175
71459,84879,Undirected,104
71459,85123A,Undirected,142
22138,84879,Undirected,122
20685,21754,Undirected,100
22139,85123A,Undirected,206
21754,85123A,Undirected,416
82582,85123A,Undirected,111
21080,84520B,Undirected,159
48184,48194,Undirected,147
21212,84879,Undirected,167
84970L,85123A,Undirected,180
22212,85123A,Undirected,111
20754,20914,Undirected,103
20914,21080,Undirected,163
21080,21210,Undirected,172
21210,21843,Undirected,100
21790,21889,Undirected,223
22355,85099C,Undirected,102
21930,21931,Undirected,358
21931,22355,Undirected,253
21931,22356,Undirected,162
21930,22355,Undirected,104
21212,22348,Undirected,103
22355,22356,Undirected,352
22355,85099B,Undirected,225
84879,85099B,Undirected,159
21535,85099B,Undirected,100
22197,85123A,Undirected,157
21212,22197,Undirected,140
22197,85099B,Undirected,201
21931,22197,Undirected,137
20674,21238,Undirected,123
20674,20677,Undirected,149
20674,20675,Undirected,175
21791,21888,Undirected,108
22114,84029E,Undirected,195
21485,84029E,Undirected,210
22112,84029E,Undirected,183
21463,21464,Undirected,127
21240,84997C,Undirected,104
20675,84997C,Undirected,102
22142,22144,Undirected,181
20981,20982,Undirected,121
20981,20983,Undirected,110
21033,21931,Undirected,120
21242,21243,Undirected,158
21242,21245,Undirected,127
21242,21244,Undirected,170
21243,21245,Undirected,103
21244,21245,Undirected,111
21094,22333,Undirected,124
21086,22333,Undirected,110
20974,20975,Undirected,205
21166,21175,Undirected,400
84029E,84029G,Undirected,206
22114,84029G,Undirected,134
22175,22176,Undirected,117
21754,82486,Undirected,128
21754,82494L,Undirected,182
21754,82482,Undirected,156
21755,82486,Undirected,124
82482,82486,Undirected,360
21755,82494L,Undirected,168
21755,82482,Undirected,145
22294,84879,Undirected,121
22219,85123A,Undirected,145
22219,84879,Undirected,110
20725,47591D,Undirected,106
21507,21508,Undirected,123
21976,84991,Undirected,141
21621,21622,Undirected,110
21034,82494L,Undirected,104
21212,21976,Undirected,204
21976,21977,Undirected,176
20728,21931,Undirected,233
22082,85123A,Undirected,101
22147,85123A,Undirected,137
21429,85123A,Undirected,100
20972,22147,Undirected,213
21754,22120,Undirected,136
21523,21955,Undirected,134
20727,85099F,Undirected,166
20723,85099F,Undirected,166
21930,85099F,Undirected,233
22083,22084,Undirected,136
20725,20914,Undirected,239
20914,22348,Undirected,105
20914,21232,Undirected,165
82600,85150,Undirected,167
82582,82600,Undirected,133
20725,22197,Undirected,123
22197,22198,Undirected,236
21232,22197,Undirected,112
20971,22147,Undirected,176
48129,48187,Undirected,106
21035,21154,Undirected,113
21035,85099B,Undirected,112
21754,85099B,Undirected,107
21034,21754,Undirected,111
82482,82483,Undirected,350
22173,82482,Undirected,102
82482,84406B,Undirected,145
82482,85123A,Undirected,470
22173,82494L,Undirected,118
82494L,84406B,Undirected,143
82494L,85123A,Undirected,497
71053,85123A,Undirected,143
82483,84406B,Undirected,116
82486,84406B,Undirected,124
20725,21933,Undirected,102
21479,84029G,Undirected,102
20969,20970,Undirected,198
20712,21930,Undirected,183
20713,21930,Undirected,173
21485,84029G,Undirected,108
21479,22112,Undirected,120
21165,21166,Undirected,191
22294,22297,Undirected,128
22294,22296,Undirected,100
20724,POST,Undirected,161
20749,20750,Undirected,198
20750,POST,Undirected,167
22178,84879,Undirected,218
22149,22271,Undirected,122
22078,22082,Undirected,104
22149,85123A,Undirected,137
20914,21210,Undirected,117
21080,21213,Undirected,111
21080,21989,Undirected,151
21210,84987,Undirected,136
21210,84991,Undirected,130
20971,22273,Undirected,133
21213,21989,Undirected,108
21213,84992,Undirected,191
21232,22059,Undirected,129
22059,37448,Undirected,129
22178,84755,Undirected,156
84755,84879,Undirected,148
20685,48111,Undirected,136
84970L,84970S,Undirected,353
84879,84970S,Undirected,126
84836,84970L,Undirected,106
21135,84879,Undirected,104
84836,84879,Undirected,194
72351A,72351B,Undirected,166
20727,21929,Undirected,120
20727,21928,Undirected,122
84997D,85099B,Undirected,129
84997C,85099B,Undirected,101
84997B,85099B,Undirected,123
20914,85099B,Undirected,211
20727,84879,Undirected,103
20725,84879,Undirected,140
20727,84997D,Undirected,111
20728,84997D,Undirected,113
20725,84997D,Undirected,140
21239,84997D,Undirected,103
20725,84997C,Undirected,112
20725,84997B,Undirected,131
21239,84997B,Undirected,100
20727,20728,Undirected,496
20727,20914,Undirected,128
20727,21213,Undirected,143
20728,20914,Undirected,121
20728,21212,Undirected,126
20725,21213,Undirected,120
21239,21241,Undirected,108
20676,21244,Undirected,121
20676,21243,Undirected,102
20676,21239,Undirected,142
21754,22178,Undirected,102
20713,21928,Undirected,186
21928,21931,Undirected,344
20718,21931,Undirected,131
20713,21929,Undirected,145
48111,48187,Undirected,105
20685,21523,Undirected,149
21523,48194,Undirected,141
21523,48184,Undirected,119
48187,48194,Undirected,228
21175,21181,Undirected,408
21175,21908,Undirected,192
21932,21933,Undirected,200
20685,48129,Undirected,117
21232,22061,Undirected,108
21165,82583,Undirected,122
21165,82600,Undirected,156
21165,21175,Undirected,194
21165,85152,Undirected,176
21165,21181,Undirected,177
82583,82600,Undirected,146
21175,82583,Undirected,180
82583,85152,Undirected,187
21181,82583,Undirected,171
21175,82600,Undirected,254
82600,85152,Undirected,264
21175,85152,Undirected,362
21977,85099B,Undirected,143
21080,22090,Undirected,168
22088,22090,Undirected,135
21985,85123A,Undirected,102
21870,21874,Undirected,141
21871,21877,Undirected,115
21790,22138,Undirected,123
21891,21892,Undirected,150
21790,21891,Undirected,114
21790,21892,Undirected,115
82599,85152,Undirected,101
82582,85152,Undirected,183
85150,85152,Undirected,199
21175,82582,Undirected,159
21917,21918,Undirected,102
21791,21889,Undirected,144
21165,85123A,Undirected,112
21165,21908,Undirected,117
15056BL,85014B,Undirected,141
15056BL,85014A,Undirected,126
15056BL,15056P,Undirected,147
20679,85014B,Undirected,128
20679,85014A,Undirected,105
15056P,20679,Undirected,126
15056N,85014B,Undirected,137
15056N,85014A,Undirected,126
15056N,15056P,Undirected,174
21175,85123A,Undirected,244
22055,22061,Undirected,105
21507,21509,Undirected,157
82494L,84879,Undirected,173
82482,84879,Undirected,159
22170,82494L,Undirected,107
22169,22170,Undirected,169
84596B,84596F,Undirected,169
21080,21535,Undirected,107
21868,85123A,Undirected,112
21181,21733,Undirected,114
21733,82494L,Undirected,136
20711,85099F,Undirected,197
21034,84879,Undirected,135
20711,85099C,Undirected,205
48185,48187,Undirected,162
48187,85099B,Undirected,112
21622,85123A,Undirected,118
82552,85123A,Undirected,109
21174,85123A,Undirected,132
20971,22150,Undirected,102
21080,21931,Undirected,105
20728,22355,Undirected,167
20728,21930,Undirected,142
21210,84988,Undirected,117
22355,85123A,Undirected,127
72741,85123A,Undirected,130
21481,84029E,Undirected,105
21506,22030,Undirected,106
21931,21935,Undirected,104
21559,22353,Undirected,118
21559,21561,Undirected,189
22189,85123A,Undirected,334
21899,21901,Undirected,194
21899,21902,Undirected,155
21899,21900,Undirected,236
21238,21245,Undirected,112
82583,85150,Undirected,140
20972,22150,Undirected,135
20972,22271,Undirected,146
20972,22273,Undirected,141
20972,22149,Undirected,201
20725,22139,Undirected,125
20725,21932,Undirected,114
84378,84991,Undirected,101
21790,22139,Undirected,116
20726,21559,Undirected,120
20713,20724,Undirected,103
20713,20725,Undirected,160
20713,20728,Undirected,105
20713,20726,Undirected,102
20724,21931,Undirected,201
21174,21181,Undirected,176
21166,21181,Undirected,359
21181,21870,Undirected,134
21166,21174,Undirected,140
21174,21175,Undirected,170
84378,85123A,Undirected,112
82600,85123A,Undirected,161
84378,84992,Undirected,112
20685,20725,Undirected,128
21390,85123A,Undirected,146
21523,48185,Undirected,105
21523,85123A,Undirected,156
21242,84997B,Undirected,101
20727,21559,Undirected,124
20725,21559,Undirected,162
22352,85123A,Undirected,104
21166,85123A,Undirected,193
47591D,85123A,Undirected,106
20727,21558,Undirected,113
20725,22352,Undirected,177
21754,85152,Undirected,100
21166,85152,Undirected,327
21929,21930,Undirected,187
20727,21931,Undirected,235
20723,22355,Undirected,298
20724,22197,Undirected,104
20724,22355,Undirected,423
20727,22197,Undirected,107
20725,22355,Undirected,229
20727,22355,Undirected,189
21974,84987,Undirected,135
21974,84991,Undirected,102
20725,21975,Undirected,100
20725,21977,Undirected,119
21210,21974,Undirected,134
21210,21977,Undirected,135
21212,21974,Undirected,123
21974,21977,Undirected,194
21175,85099B,Undirected,123
21181,85099B,Undirected,159
20914,21931,Undirected,108
20914,85099F,Undirected,109
20718,85099F,Undirected,118
20725,85099F,Undirected,236
21212,84378,Undirected,124
21165,85150,Undirected,114
85099C,85099F,Undirected,381
21165,21174,Undirected,114
20676,21240,Undirected,152
20972,85099B,Undirected,112
20712,21928,Undirected,161
20712,21929,Undirected,174
21213,21976,Undirected,103
21975,21976,Undirected,146
20712,85099F,Undirected,185
21484,22112,Undirected,100
20713,85099C,Undirected,241
21621,47566,Undirected,153
47566,47566B,Undirected,245
47566,82482,Undirected,127
84029G,85123A,Undirected,101
21524,48111,Undirected,103
21232,21535,Undirected,119
21137,22041,Undirected,151
21524,48194,Undirected,163
84978,85123A,Undirected,197
84755,85123A,Undirected,205
84970S,84978,Undirected,135
84755,84970S,Undirected,114
21485,22113,Undirected,156
21507,22029,Undirected,133
22189,84879,Undirected,125
22141,22144,Undirected,177
22178,84946,Undirected,178
21733,82486,Undirected,103
21733,82482,Undirected,131
20717,20718,Undirected,191
21232,21843,Undirected,122
48187,84879,Undirected,123
22332,22333,Undirected,119
21559,POST,Undirected,143
21121,21212,Undirected,145
20725,47566,Undirected,133
21934,21935,Undirected,116
21181,82580,Undirected,113
21533,21843,Undirected,155
21212,22090,Undirected,165
21240,21242,Undirected,155
21080,21086,Undirected,335
21080,21094,Undirected,372
21166,82583,Undirected,162
21166,85150,Undirected,175
82551,82552,Undirected,185
21755,85066,Undirected,102
20728,85099C,Undirected,147
20677,84997D,Undirected,100
20674,21245,Undirected,117
20674,20676,Undirected,184
20676,20677,Undirected,209
22147,22149,Undirected,293
20971,22149,Undirected,152
21977,84879,Undirected,115
84879,84991,Undirected,113
20717,85099B,Undirected,120
20712,85099C,Undirected,185
20717,85099F,Undirected,106
21987,21988,Undirected,185
21988,21989,Undirected,174
21094,21988,Undirected,105
21870,85123A,Undirected,124
82580,85152,Undirected,103
21175,82580,Undirected,100
21174,82600,Undirected,121
21908,82600,Undirected,121
21174,21908,Undirected,105
21174,85152,Undirected,178
21080,22333,Undirected,126
21165,82582,Undirected,115
21908,82583,Undirected,100
21080,47566,Undirected,109
21212,47566,Undirected,135
20972,21232,Undirected,102
21314,85123A,Undirected,115
21080,POST,Undirected,120
48194,85099B,Undirected,146
84755,85099B,Undirected,121
20971,21232,Undirected,100
21843,22072,Undirected,105
82486,84879,Undirected,129
21928,85099C,Undirected,301
21928,21930,Undirected,181
85099C,85123A,Undirected,161
22178,82482,Undirected,118
22178,82494L,Undirected,117
22149,22150,Undirected,225
22171,85123A,Undirected,102
21523,21524,Undirected,134
21232,47559B,Undirected,104
21559,85099B,Undirected,112
20711,20725,Undirected,114
20723,21931,Undirected,130
20724,85099F,Undirected,154
21212,21533,Undirected,101
21086,22090,Undirected,122
85123A,85150,Undirected,140
20725,POST,Undirected,121
48111,48194,Undirected,172
21506,22029,Undirected,117
20719,22355,Undirected,340
20719,21931,Undirected,139
21033,85099B,Undirected,120
21122,21212,Undirected,113
21508,22029,Undirected,130
21508,21509,Undirected,159
21509,22029,Undirected,155
20725,21155,Undirected,108
21080,21977,Undirected,159
22149,22274,Undirected,110
21509,22027,Undirected,116
21508,22027,Undirected,111
21507,22027,Undirected,119
22027,22037,Undirected,114
22027,22029,Undirected,210
21843,85099B,Undirected,120
22029,22045,Undirected,124
20726,85099F,Undirected,145
21843,21844,Undirected,102
84839,85123A,Undirected,102
48184,48185,Undirected,100
48111,48185,Undirected,117
21524,48185,Undirected,145
21094,22090,Undirected,138
21078,21080,Undirected,187
48111,48129,Undirected,123
20711,21929,Undirected,166
20711,21928,Undirected,172
21164,21175,Undirected,102
20726,22355,Undirected,149
20674,21240,Undirected,117
21790,84077,Undirected,101
21240,21241,Undirected,120
21240,21245,Undirected,107
21715,21716,Undirected,136
21561,22352,Undirected,104
21086,POST,Undirected,107
21094,POST,Undirected,101
20723,20728,Undirected,152
20972,22274,Undirected,107
21977,85123A,Undirected,126
82486,85066,Undirected,123
22355,85099F,Undirected,105
21531,21843,Undirected,122
21314,84879,Undirected,101
21931,21936,Undirected,111
20711,21930,Undirected,151
22356,85099F,Undirected,123
21715,21718,Undirected,121
21716,21718,Undirected,124
84879,84978,Undirected,113
22178,84978,Undirected,129
20726,22352,Undirected,110
20725,22090,Undirected,112
20719,20728,Undirected,136
21078,84520B,Undirected,118
21754,85066,Undirected,101
47566,85123A,Undirected,314
71459,84755,Undirected,156
22090,47566,Undirected,165
22188,85123A,Undirected,125
22158,85123A,Undirected,105
22188,22189,Undirected,199
20725,21843,Undirected,109
20677,84997B,Undirected,100
20726,21936,Undirected,109
21936,85099B,Undirected,202
20726,POST,Undirected,138
21080,21121,Undirected,101
21239,21242,Undirected,142
22090,85099B,Undirected,130
20674,21242,Undirected,102
20675,21242,Undirected,133
20677,21242,Undirected,120
21936,21937,Undirected,194
22365,48138,Undirected,108
21523,48138,Undirected,172
48138,48173C,Undirected,110
21955,48138,Undirected,132
48138,48184,Undirected,157
22366,48138,Undirected,110
20718,85099C,Undirected,103
47566,84755,Undirected,111
22178,47566,Undirected,122
22197,47566,Undirected,105
48138,48194,Undirected,232
48138,48185,Undirected,157
48138,85099B,Undirected,174
48138,85123A,Undirected,255
48138,48187,Undirected,194
22357,22358,Undirected,107
47566,47590B,Undirected,176
48129,48138,Undirected,108
48111,48138,Undirected,125
22326,22328,Undirected,357
22326,85099B,Undirected,111
21731,22326,Undirected,141
21524,48138,Undirected,201
48138,84879,Undirected,117
20685,48138,Undirected,317
22327,22328,Undirected,115
20712,22326,Undirected,102
47590A,47590B,Undirected,328
47599A,47599B,Undirected,138
47566,47590A,Undirected,138
47566,82494L,Undirected,103
48138,48188,Undirected,119
84970L,84978,Undirected,123
47566,84879,Undirected,213
21621,48138,Undirected,106
21390,22294,Undirected,101
