Id,Label,TotalQuantity,TotalRevenue,InvoiceCount,Degree,WeightedDegree
21174,POTTERING IN THE SHED METAL SIGN,9813,19864.32,1135,73,4262
22993,SET OF 4 PANTRY JELLY MOULDS,12672,16507.23,1073,91,4247
22960,JAM MAKING SET WITH JARS,9302,39694.56,1159,82,4231
22617,BAKING SET SPACEBOY DESIGN,4389,21162.89,942,87,4213
22961,JAM MAKING SET PRINTED,18086,28242.89,1200,83,4212
21217,RED SPOTTY ROUND CAKE TINS,2961,30483.03,928,82,4208
21086,SET/6 RED SPOTTY PAPER CUPS,16903,10950.150000000001,843,72,4122
21035,SET/2 RED SPOTTY TEA TOWELS ,6091,18988.37,929,84,4114
21915,RED  HARMONICA IN BOX ,38191,44808.8,1025,77,4067
21156,RED SPOTTY CHILDS APRON,9399,17502.96,930,80,4007
21165,BEWARE OF THE CAT METAL SIGN ,9450,15359.8,966,61,3920
23208,LUNCH BAG VINTAGE LEAF DESIGN,6342,10498.01,668,51,3911
23207,LUNCH BAG ALPHABET DESIGN,7851,13360.2,740,56,3866
22659,LUNCHBOX I LOVE LONDON,16869,31203.02,1075,72,3777
21240,BLUE  SPOTTY CUP,7643,6600.87,769,48,3717
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,110138,25259.899999999998,1019,85,3661
20750, RED/WHITE DOT MINI CASES,3777,27562.87,909,74,3654
22113,GREY HEART HOT WATER BOTTLE,6059,23172.82,996,64,3627
21239,PINK  SPOTTY CUP,7457,6520.64,751,46,3556
22413,METAL SIGN TAKE IT OR LEAVE IT ,7048,19970.24,881,57,3531
22553,PLASTERS IN TIN SKULLS,8084,13529.259999999998,1090,70,3525
21218,RED SPOTTY BISCUIT TIN,5305,21102.06,897,68,3493
22835,HOT WATER BOTTLE I AM SO POORLY,5566,28659.98,1011,52,3484
15056N,EDWARDIAN PARASOL NATURAL,11370,58427.590000000004,1033,57,3479
15056BL,EDWARDIAN PARASOL BLACK,9646,48101.89,857,59,3476
71459,HANGING JAM JAR T-LIGHT HOLDER,33577,27192.51,1017,68,3423
22585,PACK OF 6 BIRDY GIFT TAGS,18333,22903.920000000002,1084,77,3417
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10620,17834.26,1126,62,3416
21155,RED SPOTTY PEG BAG,6734,16493.11,969,71,3366
22150, 3 STRIPEY MICE FELTCRAFT,7969,14841.4,938,64,3351
21527,RETRO SPOT TRADITIONAL TEAPOT ,3429,25612.27,831,53,3350
21908,CHOCOLATE THIS WAY METAL SIGN,9865,19534.11,974,51,3347
21889,WOODEN BOX OF DOMINOES,13231,17636.32,1123,63,3321
21481,FAWN BLUE HOT WATER BOTTLE,8557,26988.98,1050,66,3320
22633,HAND WARMER UNION JACK,9544,19617.730000000003,858,57,3312
85066,CREAM SWEETHEART MINI CHEST,3148,39428.65,929,65,3277
22555,PLASTERS IN TIN STRONGMAN,11905,19277.969999999998,967,60,3266
82582,AREA PATROLLED METAL SIGN,7637,15461.77,796,57,3243
21498,RED SPOTS  WRAP ,27201,11031.42,802,65,3241
22625,RED KITCHEN SCALES,2743,24045.030000000002,950,63,3233
22663,JUMBO BAG DOLLY GIRL DESIGN,5793,11531.86,688,44,3212
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17637,17431.989999999998,1080,58,3192
22698,PINK REGENCY TEACUP AND SAUCER,8232,24489.670000000002,1033,41,3175
84406B,CREAM CUPID HEARTS COAT HANGER,7384,23820.8,841,61,3164
22728,ALARM CLOCK BAKELIKE PINK,6374,24907.27,969,50,3156
48184,DOOR MAT ENGLISH ROSE ,4777,31603.65,851,48,3152
20677,PINK SPOTTY BOWL,7907,9959.890000000001,760,41,3144
21907,I'M ON HOLIDAY METAL SIGN,5264,11068.43,771,50,3137
22568,FELTCRAFT CUSHION OWL,5692,21056.5,875,47,3130
22273,FELTCRAFT DOLL MOLLY,7413,20345.77,810,48,3125
23355,HOT WATER BOTTLE KEEP CALM,5841,28842.550000000003,782,56,3107
22561,WOODEN SCHOOL COLOURING SET,11778,19752.089999999997,904,64,3085
82581,TOILET METAL SIGN,8507,4712.05,913,55,3081
47590B,PINK HAPPY BIRTHDAY BUNTING,5778,29587.43,872,57,3068
21172,PARTY METAL SIGN ,7759,11492.22,971,67,3051
20675,BLUE SPOTTY BOWL,6573,8190.41,693,36,3027
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7343,32054.49,1009,51,3009
23301,GARDENERS KNEELING PAD KEEP CALM ,8825,16357.05,913,61,2992
22271,FELTCRAFT DOLL ROSIE,4966,14218.250000000002,787,46,2989
23344,JUMBO BAG 50'S CHRISTMAS ,10306,23815.75,716,58,2984
22467,GUMBALL COAT RACK,12298,29139.100000000002,1095,70,2972
21242,RED SPOTTY PLATE ,7123,11984.47,657,40,2949
22296,HEART IVORY TRELLIS LARGE,9974,16456.859999999997,833,52,2942
21531,RETRO SPOT SUGAR JAM BOWL,4146,10349.47,776,43,2909
23245,SET OF 3 REGENCY CAKE TINS,6357,31177.95,873,58,2889
22667,RECIPE BOX RETRO SPOT DESIGN,5013,14081.95,848,64,2886
22027,TEA PARTY BIRTHDAY CARD,11459,4877.11,845,53,2876
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,5142,15783.7,997,58,2861
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,10540,14338.18,1114,54,2859
21914,BLUE HARMONICA IN BOX ,13311,18198.1,963,55,2856
22632,HAND WARMER RED POLKA DOT,11190,22384.870000000003,779,43,2816
21121,SET/10 RED SPOTTY PARTY CANDLES,15678,18979.33,873,51,2798
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,8319,6730.55,631,43,2794
48111,DOOR MAT 3 SMILEY CATS,4309,26544.41,720,47,2791
22380,TOY TIDY SPACEBOY  ,4998,10301.72,688,48,2790
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6202,31123.93,900,53,2767
22569,FELTCRAFT CUSHION BUTTERFLY,5731,20924.96,784,41,2746
82552,WASHROOM METAL SIGN,7046,9659.57,794,52,2729
22570,FELTCRAFT CUSHION RABBIT,5805,21579.79,807,41,2724
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3876,15808.58,685,44,2720
21122,SET/10 PINK SPOTTY PARTY CANDLES,12741,15455.06,807,49,2695
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4751,18551.7,814,61,2673
23200,JUMBO BAG PEARS,7071,14197.28,595,36,2636
22507,MEMO BOARD RETROSPOT  DESIGN,5694,26626.56,900,59,2622
21479,WHITE SKULL HOT WATER BOTTLE ,6872,34617.93,930,47,2581
23204,CHARLOTTE BAG APPLES DESIGN,7976,7741.94,583,38,2574
21169,YOU'RE CONFUSING ME METAL SIGN ,8941,14426.42,772,41,2561
22694,WICKER STAR ,5136,11576.1,858,53,2541
22502,PICNIC BASKET WICKER SMALL,3869,61510.67,924,55,2527
21539,RETRO SPOTS BUTTER DISH,2784,13853.59,709,39,2503
22294,HEART FILIGREE DOVE  SMALL,17127,21217.02,861,47,2495
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",3949,20528.58,802,49,2470
21558,SKULL LUNCHBOX WITH CUTLERY ,4261,10988.52,768,45,2452
21955,UNION JACK GUNS & ROSES  DOORMAT,3943,24024.170000000002,729,41,2449
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,14165,7283.0199999999995,832,42,2435
22730,ALARM CLOCK BAKELIKE IVORY,3877,15567.79,746,34,2384
21937,STRAWBERRY   PICNIC BAG,4123,12118.51,657,41,2379
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,9309,13232.41,880,45,2370
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,13429,6534.73,768,42,2349
22456,NATURAL SLATE CHALKBOARD LARGE ,4462,21883.98,835,51,2314
22492,MINI PAINT SET VINTAGE ,45665,29046.190000000002,732,48,2304
21164,HOME SWEET HOME METAL SIGN ,6058,16865.4,721,45,2294
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,5265,19704.57,589,35,2277
22652,TRAVEL SEWING KIT,10163,17265.28,830,57,2273
22621,TRADITIONAL KNITTING NANCY,8775,13863.409999999998,875,52,2273
48188,DOOR MAT WELCOME PUPPIES,4892,28798.14,698,37,2266
84987,SET OF 36 TEATIME PAPER DOILIES,8154,11896.699999999999,812,39,2239
22297,HEART IVORY TRELLIS SMALL,13981,18064.1,969,41,2230
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5984,24507.36,835,45,2226
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,11210,14529.81,815,32,2217
21243,PINK  SPOTTY PLATE ,5660,9328.26,503,27,2216
20717,STRAWBERRY SHOPPER BAG,6342,7840.98,757,37,2211
21976,PACK OF 60 MUSHROOM CAKE CASES,14818,7946.030000000001,950,37,2196
21868,POTTING SHED TEA MUG,9255,11408.72,881,53,2190
22274,FELTCRAFT DOLL EMILY,3834,10973.7,656,31,2190
22750,FELTCRAFT PRINCESS LOLA DOLL,3237,12121.47,647,34,2186
22219,LOVEBIRD HANGING DECORATION WHITE ,9934,9427.66,1149,49,2182
23084,RABBIT NIGHT LIGHT,30788,66964.99,994,50,2158
22348,TEA BAG PLATE RED SPOTTY ,12574,10715.13,961,45,2155
22082,RIBBON REEL STRIPES DESIGN ,7535,12682.97,957,41,2154
21870,I CAN ONLY PLEASE ONE PERSON MUG,6398,8025.53,630,44,2136
21244,BLUE  SPOTTY PLATE ,5161,8452.07,445,25,2135
84692,BOX OF 24 COCKTAIL PARASOLS,19467,9530.48,1122,49,2111
22295,HEART FILIGREE DOVE LARGE,8740,14426.649999999998,706,36,2094
47566B,TEA TIME PARTY BUNTING,5838,25987.9,761,43,2089
22055,MINI CAKE STAND  HANGING STRAWBERY,4945,8212.189999999999,724,41,2064
22464,HANGING METAL HEART LANTERN,8012,13277.22,784,43,2059
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9828,27061.58,756,40,2051
21484,CHICK GREY HOT WATER BOTTLE,4815,19113.15,864,35,2044
47559B,TEA TIME OVEN GLOVE,5232,6469.29,701,44,2032
21668,RED STRIPE CERAMIC DRAWER KNOB,10464,14053.289999999999,825,25,2026
22595,CHRISTMAS GINGHAM HEART,13024,10977.699999999999,796,38,2021
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10763,14092.17,805,23,1999
22333,RETRO SPORT PARTY BAG + STICKER SET,10172,15877.369999999999,697,39,1982
21989,PACK OF 20 SKULL PAPER NAPKINS,8584,6822.88,654,34,1977
22620,4 TRADITIONAL SPINNING TOPS,8361,11343.55,841,38,1976
23300,GARDENERS KNEELING PAD CUP OF TEA ,6827,11815.689999999999,758,42,1971
21932,SCANDINAVIAN PAISLEY PICNIC BAG,3889,8549.47,649,34,1962
21900,"KEY FOB , SHED",8472,5632.05,835,37,1952
20679,EDWARDIAN PARASOL RED,6259,30667.32,715,24,1927
23321,SMALL WHITE HEART OF WICKER,4737,8473.269999999999,629,39,1920
22196,SMALL HEART MEASURING SPOONS,6734,6288.049999999999,981,40,1896
22907,PACK OF 20 NAPKINS PANTRY DESIGN,8745,7329.99,829,40,1894
20674,GREEN SPOTTY BOWL,3462,4414.8,463,23,1892
72741,GRAND CHOCOLATECANDLE,20178,27915.129999999997,920,44,1892
21314,SMALL GLASS HEART TRINKET POT,11658,25276.95,1066,39,1885
22487,WHITE WOOD GARDEN PLANT LADDER,1647,16569.3,898,44,1880
21891,TRADITIONAL WOODEN SKIPPING ROPE,12282,15756.65,835,34,1877
21974,SET OF 36 PAISLEY FLOWER DOILIES,7059,10656.3,808,33,1876
21670,BLUE SPOT CERAMIC DRAWER KNOB,8997,12287.34,767,21,1872
21888,BINGO SET,3586,14171.59,825,37,1862
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8817,3637.0299999999997,628,33,1861
21429,RED GINGHAM ROSE JEWELLERY BOX,6593,11785.98,997,43,1853
22748,POPPY'S PLAYHOUSE KITCHEN,4263,10434.49,742,33,1840
79321,CHILLI LIGHTS,16840,85489.91,1135,44,1837
21985,PACK OF 12 HEARTS DESIGN TISSUES ,25708,9032.96,919,40,1829
21136,PAINTED METAL PEARS ASSORTED,10652,17738.89,739,32,1823
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6954,11879.169999999998,808,40,1823
21124,SET/10 BLUE SPOTTY PARTY CANDLES,10093,12254.050000000001,629,32,1821
71053,WHITE METAL LANTERN,4993,19718.61,727,38,1820
22427,ENAMEL FLOWER JUG CREAM,3247,19517.11,798,35,1817
22560,TRADITIONAL MODELLING CLAY,15226,18313.05,742,38,1799
22158,3 HEARTS HANGING DECORATION RUSTIC,9443,30498.18,718,42,1797
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,10276,13568.06,763,22,1786
20754,RETRO RED SPOTTY WASHING UP GLOVES,5159,10608.75,852,38,1774
84988,SET OF 72 PINK HEART PAPER DOILIES,8404,13075.15,1019,34,1763
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,4665,22054.25,684,32,1759
82551,LAUNDRY 15C METAL SIGN,5690,8163.849999999999,751,34,1756
22131,FOOD CONTAINER SET 3 LOVE HEART ,5317,10070.49,692,43,1748
21671,RED SPOT CERAMIC DRAWER KNOB,9590,12474.38,727,19,1746
22045,SPACE BOY GIFT WRAP,14667,6034.14,473,40,1746
21935,SUKI  SHOULDER BAG,7209,13353.81,921,34,1737
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,3045,7933.19,493,33,1735
22191,EAU DE NIL DINER WALL CLOCK,2003,16522.05,620,29,1719
21154,RED SPOTTY OVEN GLOVE ,8402,12107.72,903,37,1716
22087,PAPER BUNTING WHITE LACE,8532,25563.170000000002,847,38,1705
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3294,12315.1,613,24,1690
37503,TEA TIME CAKE STAND IN GIFT BOX,2469,25471.329999999998,522,38,1679
22084,PAPER CHAIN KIT EMPIRE,8879,25480.38,811,34,1673
21508,VINTAGE KID DOLLY CARD ,6802,2844.16,541,30,1661
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4632,10265.72,573,29,1651
22501,PICNIC BASKET WICKER LARGE,2643,30828.289999999997,762,36,1650
21506,"FANCY FONT BIRTHDAY CARD, ",11302,4707.38,665,32,1649
48129,DOOR MAT TOPIARY,3150,19790.14,543,24,1639
20749,ASSORTED COLOUR MINI CASES,3156,22806.51,766,35,1638
22940,FELTCRAFT CHRISTMAS FAIRY,3672,16090.039999999999,586,31,1631
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,12063,6379.59,629,36,1626
21078,SET/20 STRAWBERRY PAPER NAPKINS ,7242,6213.389999999999,741,32,1624
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2547,9632.0,574,22,1622
22489,PACK OF 12 TRADITIONAL CRAYONS,18076,7618.0199999999995,785,32,1621
21877,HOME SWEET HOME MUG,14187,16126.02,755,37,1615
22499,WOODEN UNION JACK BUNTING,3597,21910.640000000003,774,35,1614
20975,12 PENCILS SMALL TUBE RED SPOTTY,18685,12266.78,902,35,1600
48173C,DOOR MAT BLACK FLOCK ,4104,23335.25,500,26,1597
22607,WOODEN ROUNDERS GARDEN SET ,2556,23139.3,744,35,1596
21912,VINTAGE SNAKES & LADDERS,3800,14968.49,828,30,1595
21933,PINK VINTAGE PAISLEY PICNIC BAG,4151,9191.6,625,27,1579
22745,POPPY'S PLAYHOUSE BEDROOM ,4097,10044.060000000001,703,27,1572
23205,CHARLOTTE BAG VINTAGE ALPHABET ,5859,5728.08,467,26,1563
47590A,BLUE HAPPY BIRTHDAY BUNTING,4829,24559.230000000003,689,28,1558
22030,SWALLOWS GREETING CARD,13059,5333.92,685,30,1555
22327,ROUND SNACK BOXES SET OF 4 SKULLS,3109,10095.79,646,30,1555
84949,SILVER HANGING T-LIGHT HOLDER,12286,19568.46,693,30,1551
21519,GIN & TONIC DIET GREETING CARD ,7482,3205.43,553,33,1541
22729,ALARM CLOCK BAKELIKE ORANGE,3098,12272.63,612,20,1527
21892,TRADITIONAL WOODEN CATCH CUP GAME ,7972,10370.32,818,25,1512
