session_id,user_id,session_date,channel_id,device_id,geo_id,source,medium,is_new_user,engaged_session,engagement_seconds,pageviews,view_item,add_to_cart,begin_checkout,purchase,order_id,session_revenue
S0000028,U000011,2020-12-09,1,1,2,google,organic,0,0,117,5,1,0,0,0,,0.0
S0000029,U000012,2020-12-15,1,2,1,google,organic,1,1,52,6,1,0,0,0,,0.0
S0000030,U000013,2021-01-17,4,1,1,youtube.com,referral,1,1,258,4,1,0,0,0,,0.0
S0000031,U000013,2021-01-19,2,1,1,(direct),(none),0,1,43,6,0,0,0,0,,0.0
S0000032,U000013,2021-01-21,2,1,1,(direct),(none),0,1,111,6,1,0,0,0,,0.0
S0000033,U000014,2020-12-19,1,1,1,google,organic,1,0,35,4,0,0,0,0,,0.0
S0000034,U000015,2020-11-25,3,1,4,google,cpc,1,0,106,1,0,0,0,0,,0.0
S0000035,U000016,2020-12-12,1,2,1,google,organic,1,1,307,1,0,0,0,0,,0.0
S0000036,U000016,2020-12-13,3,2,1,google,cpc,0,1,372,7,1,1,1,1,O000002,24.99
S0000037,U000016,2020-12-14,2,2,1,(direct),(none),0,1,248,7,1,1,1,0,,0.0
S0000038,U000017,2020-11-25,6,1,1,newsletter,email,1,0,52,1,0,0,0,0,,0.0
S0000039,U000017,2020-11-28,1,2,1,bing,organic,0,0,30,3,0,0,0,0,,0.0
S0000040,U000017,2020-12-05,2,2,1,(direct),(none),0,0,65,2,0,0,0,0,,0.0
S0000041,U000018,2020-12-19,1,2,1,google,organic,1,0,84,3,1,0,0,0,,0.0
S0000042,U000018,2020-12-23,2,1,1,(direct),(none),0,1,163,6,1,0,0,0,,0.0
S0000043,U000018,2020-12-26,6,1,1,promo,email,0,1,89,7,1,0,0,0,,0.0
S0000044,U000019,2020-12-22,7,2,1,instagram,social,1,1,217,1,0,0,0,0,,0.0
S0000045,U000019,2020-12-25,2,1,1,(direct),(none),0,0,103,5,1,0,0,0,,0.0
S0000046,U000019,2020-12-26,6,1,1,promo,email,0,1,66,8,1,0,0,0,,0.0
S0000047,U000020,2020-11-22,2,2,1,(direct),(none),1,1,128,9,1,0,0,0,,0.0
S0000048,U000020,2020-11-25,2,2,1,(direct),(none),0,0,7,2,0,0,0,0,,0.0
S0000049,U000020,2020-12-03,7,2,1,youtube,social,0,0,104,1,1,0,0,0,,0.0
S0000050,U000021,2020-12-21,2,1,7,(direct),(none),1,1,87,8,1,0,0,0,,0.0
S0000051,U000021,2020-12-27,1,1,7,google,organic,0,0,100,2,1,0,0,0,,0.0
S0000052,U000022,2020-12-07,2,1,10,(direct),(none),1,0,58,1,0,0,0,0,,0.0
S0000053,U000022,2020-12-22,3,1,10,google,cpc,0,1,64,7,1,0,0,0,,0.0
S0000054,U000022,2020-12-30,2,1,10,(direct),(none),0,1,191,6,1,0,0,0,,0.0
S0000055,U000023,2020-11-24,1,1,4,bing,organic,1,0,39,4,1,0,0,0,,0.0
S0000056,U000024,2020-11-08,4,1,1,other-referral,referral,1,1,205,10,1,0,0,0,,0.0
S0000057,U000024,2020-11-28,1,2,1,google,organic,0,1,86,6,1,0,0,0,,0.0
S0000058,U000025,2020-12-24,6,2,10,newsletter,email,1,0,75,4,1,0,0,0,,0.0
S0000059,U000025,2020-12-26,2,1,10,(direct),(none),0,1,235,4,1,0,0,0,,0.0
S0000060,U000025,2020-12-27,5,1,10,dv360,display,0,1,188,4,1,0,0,0,,0.0
S0000061,U000025,2020-12-28,1,1,10,google,organic,0,1,204,7,1,0,0,0,,0.0
S0000062,U000026,2020-11-19,1,1,1,google,organic,1,0,44,5,0,0,0,0,,0.0
S0000063,U000026,2020-11-20,2,1,1,(direct),(none),0,1,151,7,1,0,0,0,,0.0
S0000064,U000026,2020-11-21,4,1,1,partner-site,referral,0,1,120,3,0,0,0,0,,0.0
S0000065,U000026,2020-11-22,1,1,1,bing,organic,0,1,211,5,1,0,0,0,,0.0
S0000066,U000027,2020-12-13,1,1,10,bing,organic,1,0,91,4,0,0,0,0,,0.0
S0000067,U000027,2020-12-14,4,1,10,partner-site,referral,0,0,68,1,0,0,0,0,,0.0
S0000068,U000027,2020-12-15,4,1,10,partner-site,referral,0,0,54,2,0,0,0,0,,0.0
S0000069,U000027,2020-12-19,3,1,10,bing,cpc,0,1,144,11,1,1,0,0,,0.0
S0000070,U000028,2021-01-28,7,2,1,youtube,social,1,1,155,7,0,0,0,0,,0.0
S0000071,U000029,2020-11-30,1,2,2,google,organic,1,0,42,1,1,0,0,0,,0.0
S0000072,U000029,2020-12-07,2,2,2,(direct),(none),0,1,172,8,1,0,0,0,,0.0
S0000073,U000029,2020-12-09,6,2,2,newsletter,email,0,1,396,15,1,1,1,1,O000003,34.98
S0000074,U000030,2020-12-21,2,1,1,(direct),(none),1,1,184,9,1,1,0,0,,0.0
S0000075,U000030,2020-12-26,1,1,1,google,organic,0,0,31,4,0,0,0,0,,0.0
S0000076,U000031,2020-11-29,3,1,6,google,cpc,1,0,18,2,0,0,0,0,,0.0
S0000077,U000032,2020-11-04,5,1,1,google,display,1,1,48,6,1,0,0,0,,0.0
S0000078,U000032,2020-11-21,1,1,1,yahoo,organic,0,1,126,4,1,0,0,0,,0.0
S0000079,U000033,2020-11-24,1,2,1,google,organic,1,0,44,4,0,0,0,0,,0.0
S0000080,U000033,2020-11-26,1,2,1,google,organic,0,0,110,4,0,0,0,0,,0.0
S0000081,U000033,2020-11-27,7,2,1,twitter,social,0,0,83,4,1,0,0,0,,0.0
S0000082,U000033,2020-12-02,1,2,1,google,organic,0,1,155,3,0,0,0,0,,0.0
S0000083,U000034,2020-11-28,3,2,1,bing,cpc,1,1,208,5,1,0,0,0,,0.0
S0000084,U000034,2020-11-30,5,2,1,google,display,0,1,208,3,0,0,0,0,,0.0
S0000085,U000034,2020-12-02,4,2,1,partner-site,referral,0,0,37,3,0,0,0,0,,0.0
S0000086,U000034,2020-12-04,2,2,1,(direct),(none),0,0,92,5,1,1,0,0,,0.0
S0000087,U000035,2021-01-01,1,1,2,google,organic,1,1,466,7,1,1,1,1,O000004,69.98
S0000088,U000035,2021-01-02,1,1,2,yahoo,organic,0,0,54,5,0,0,0,0,,0.0
S0000089,U000035,2021-01-03,2,1,2,(direct),(none),0,1,134,7,0,0,0,0,,0.0
S0000090,U000035,2021-01-04,1,1,2,google,organic,0,1,156,4,1,0,0,0,,0.0
S0000091,U000036,2020-12-07,1,2,3,bing,organic,1,0,48,5,1,0,0,0,,0.0
S0000092,U000036,2020-12-14,1,2,3,yahoo,organic,0,0,11,3,0,0,0,0,,0.0
S0000093,U000037,2020-11-03,1,1,6,bing,organic,1,1,235,9,1,1,1,0,,0.0
S0000094,U000037,2020-11-08,2,1,6,(direct),(none),0,1,209,6,1,1,1,0,,0.0
S0000095,U000037,2020-11-09,5,1,6,google,display,0,1,82,6,1,0,0,0,,0.0
S0000096,U000038,2020-11-28,2,2,4,(direct),(none),1,1,217,5,1,0,0,0,,0.0
S0000097,U000038,2020-12-03,3,2,4,google,cpc,0,1,211,3,1,0,0,0,,0.0
S0000098,U000039,2021-01-03,1,2,1,bing,organic,1,1,318,5,1,0,0,0,,0.0
S0000099,U000039,2021-01-06,2,2,1,(direct),(none),0,0,84,3,1,0,0,0,,0.0
S0000100,U000040,2020-12-13,3,1,6,google,cpc,1,1,120,4,1,0,0,0,,0.0
S0000101,U000041,2020-11-13,5,3,7,google,display,1,0,45,3,0,0,0,0,,0.0
S0000102,U000041,2020-11-14,6,3,7,promo,email,0,0,92,5,0,0,0,0,,0.0
S0000103,U000041,2020-11-21,3,3,7,google,cpc,0,1,165,4,1,0,0,0,,0.0
S0000104,U000042,2020-11-09,7,1,8,youtube,social,1,1,392,10,1,1,1,1,O000005,16.98
S0000105,U000042,2020-11-15,2,1,8,(direct),(none),0,1,344,13,1,1,1,1,O000006,8.99
S0000106,U000043,2020-12-02,2,1,1,(direct),(none),1,1,384,3,1,0,0,0,,0.0
S0000107,U000043,2020-12-10,6,1,1,newsletter,email,0,1,319,9,1,1,1,1,O000007,12.99
S0000108,U000044,2020-12-11,1,1,1,google,organic,1,0,82,1,0,0,0,0,,0.0
S0000109,U000045,2020-12-31,6,1,1,newsletter,email,1,0,48,3,0,0,0,0,,0.0
S0000110,U000046,2020-12-19,6,1,1,newsletter,email,1,1,124,9,1,0,0,0,,0.0
S0000111,U000047,2020-12-04,3,1,4,google,cpc,1,0,72,5,1,0,0,0,,0.0
S0000112,U000047,2020-12-08,1,1,4,bing,organic,0,0,105,1,0,0,0,0,,0.0
S0000113,U000048,2021-01-22,1,1,3,google,organic,1,1,448,11,1,1,1,1,O000008,85.96
S0000114,U000048,2021-01-23,2,1,3,(direct),(none),0,1,332,13,1,1,1,1,O000009,74.99
S0000115,U000049,2020-11-28,3,2,1,google,cpc,1,1,144,7,1,1,0,0,,0.0
S0000116,U000049,2020-12-01,1,2,1,bing,organic,0,1,147,3,1,1,0,0,,0.0
S0000117,U000050,2020-12-07,1,2,4,google,organic,1,1,146,8,1,0,0,0,,0.0
S0000118,U000051,2020-12-18,3,1,5,google,cpc,1,0,117,4,1,0,0,0,,0.0
S0000119,U000051,2020-12-20,1,1,5,google,organic,0,1,15,8,0,0,0,0,,0.0
S0000120,U000051,2020-12-21,4,1,5,google.com,referral,0,0,46,4,0,0,0,0,,0.0
S0000121,U000052,2020-12-10,1,2,1,bing,organic,1,1,383,10,1,1,1,1,O000010,16.99
S0000122,U000052,2020-12-14,4,2,1,partner-site,referral,0,0,102,5,1,0,0,0,,0.0
S0000123,U000053,2020-12-22,7,2,1,youtube,social,1,0,49,2,0,0,0,0,,0.0
S0000124,U000054,2020-12-12,2,1,3,(direct),(none),1,0,34,4,0,0,0,0,,0.0
S0000125,U000054,2020-12-13,1,1,3,google,organic,0,0,61,2,0,0,0,0,,0.0
S0000126,U000054,2020-12-15,2,1,3,(direct),(none),0,0,80,1,0,0,0,0,,0.0
S0000127,U000054,2020-12-20,1,1,3,google,organic,0,1,140,3,0,0,0,0,,0.0
S0000128,U000055,2020-11-29,5,1,1,google,display,1,1,369,20,1,1,1,1,O000011,71.08
S0000129,U000056,2020-11-17,5,1,10,google,display,1,1,115,9,1,0,0,0,,0.0
S0000130,U000056,2020-11-18,6,1,10,newsletter,email,0,1,159,3,0,0,0,0,,0.0
S0000131,U000056,2020-11-23,1,2,10,google,organic,0,1,213,7,1,1,0,0,,0.0
S0000132,U000057,2020-12-12,3,2,1,google,cpc,1,1,38,6,1,0,0,0,,0.0
S0000133,U000058,2020-12-16,2,1,5,(direct),(none),1,1,101,11,1,0,0,0,,0.0
S0000134,U000059,2020-12-13,2,1,1,(direct),(none),1,1,209,6,0,0,0,0,,0.0
S0000135,U000059,2020-12-14,4,1,1,youtube.com,referral,0,0,83,4,1,0,0,0,,0.0
S0000136,U000059,2020-12-16,7,1,1,youtube,social,0,1,222,8,1,0,0,0,,0.0
S0000137,U000060,2020-11-29,5,1,7,dv360,display,1,1,204,6,1,1,0,0,,0.0
S0000138,U000061,2020-11-18,2,1,4,(direct),(none),1,1,414,11,1,1,1,1,O000012,74.99
S0000139,U000061,2020-11-27,5,1,4,google,display,0,0,99,4,0,0,0,0,,0.0
S0000140,U000061,2020-12-09,3,1,4,google,cpc,0,1,184,6,1,0,0,0,,0.0
S0000141,U000062,2021-01-31,7,1,3,facebook,social,1,1,117,6,1,0,0,0,,0.0
S0000142,U000063,2021-01-27,2,1,1,(direct),(none),1,1,125,9,1,1,0,0,,0.0
S0000143,U000063,2021-01-28,2,2,1,(direct),(none),0,1,185,4,1,0,0,0,,0.0
S0000144,U000063,2021-01-31,1,1,1,google,organic,0,0,70,3,0,0,0,0,,0.0
S0000145,U000064,2020-11-26,5,2,1,dv360,display,1,1,79,7,1,0,0,0,,0.0
S0000146,U000064,2020-11-30,1,2,1,google,organic,0,0,41,5,0,0,0,0,,0.0
S0000147,U000065,2020-11-27,5,1,1,google,display,1,1,87,6,1,0,0,0,,0.0
S0000148,U000065,2020-11-28,2,1,1,(direct),(none),0,0,93,5,0,0,0,0,,0.0
S0000149,U000065,2020-12-07,2,1,1,(direct),(none),0,0,80,4,1,0,0,0,,0.0
S0000150,U000065,2020-12-08,1,1,1,bing,organic,0,1,195,1,1,0,0,0,,0.0
S0000151,U000066,2020-11-04,2,1,7,(direct),(none),1,1,71,6,1,0,0,0,,0.0
S0000152,U000066,2020-11-11,6,1,7,newsletter,email,0,1,260,6,1,1,0,0,,0.0
S0000153,U000067,2020-12-13,2,3,1,(direct),(none),1,1,122,6,1,0,0,0,,0.0
S0000154,U000067,2020-12-22,3,1,1,google,cpc,0,1,135,5,1,0,0,0,,0.0
S0000155,U000068,2020-12-11,3,1,1,bing,cpc,1,1,163,5,0,0,0,0,,0.0
S0000156,U000069,2020-12-04,1,1,8,google,organic,1,0,80,4,1,0,0,0,,0.0
S0000157,U000070,2020-12-28,4,1,5,youtube.com,referral,1,1,137,5,0,0,0,0,,0.0
S0000158,U000070,2020-12-31,2,1,5,(direct),(none),0,0,72,3,1,0,0,0,,0.0
S0000159,U000071,2020-12-01,1,1,9,google,organic,1,1,224,4,0,0,0,0,,0.0
S0000160,U000072,2020-12-01,6,1,10,newsletter,email,1,1,168,8,1,0,0,0,,0.0
S0000161,U000072,2020-12-02,4,1,10,other-referral,referral,0,0,59,3,0,0,0,0,,0.0
S0000162,U000072,2020-12-04,1,1,10,google,organic,0,1,153,2,0,0,0,0,,0.0
S0000163,U000073,2020-11-19,3,2,8,google,cpc,1,1,189,15,1,1,1,0,,0.0
S0000164,U000074,2020-11-22,7,1,2,twitter,social,1,0,53,5,1,0,0,0,,0.0
S0000165,U000074,2020-11-27,4,1,2,other-referral,referral,0,1,190,6,1,0,0,0,,0.0
S0000166,U000074,2020-11-29,1,1,2,google,organic,0,0,49,3,1,0,0,0,,0.0
S0000167,U000075,2020-12-19,7,1,3,instagram,social,1,1,122,5,1,0,0,0,,0.0
S0000168,U000075,2020-12-24,3,1,3,google,cpc,0,1,350,1,1,0,0,0,,0.0
S0000169,U000076,2020-11-08,2,1,1,(direct),(none),1,1,136,3,0,0,0,0,,0.0
S0000170,U000076,2020-11-12,7,1,1,instagram,social,0,1,122,1,0,0,0,0,,0.0
S0000171,U000076,2020-11-19,3,1,1,google,cpc,0,0,24,4,0,0,0,0,,0.0
S0000172,U000077,2020-12-19,6,2,1,promo,email,1,0,12,4,0,0,0,0,,0.0
S0000173,U000077,2020-12-20,3,2,1,google,cpc,0,1,67,6,1,0,0,0,,0.0
S0000174,U000078,2020-12-24,1,1,10,bing,organic,1,1,122,5,1,0,0,0,,0.0
S0000175,U000078,2020-12-25,1,1,10,google,organic,0,0,60,3,0,0,0,0,,0.0
S0000176,U000079,2020-11-09,1,1,1,google,organic,1,1,156,3,1,0,0,0,,0.0
S0000177,U000079,2020-11-17,1,1,1,yahoo,organic,0,1,273,3,1,0,0,0,,0.0
S0000178,U000080,2020-11-03,2,2,1,(direct),(none),1,1,135,3,0,0,0,0,,0.0
S0000179,U000081,2021-01-08,4,1,3,google.com,referral,1,1,179,7,1,0,0,0,,0.0
S0000180,U000082,2020-11-04,7,1,3,facebook,social,1,0,84,2,0,0,0,0,,0.0
S0000181,U000082,2020-11-09,1,1,3,google,organic,0,1,188,7,1,0,0,0,,0.0
S0000182,U000082,2020-11-10,5,1,3,google,display,0,0,108,4,1,0,0,0,,0.0
S0000183,U000082,2020-11-15,2,1,3,(direct),(none),0,0,9,4,0,0,0,0,,0.0
S0000184,U000082,2020-11-16,4,1,3,other-referral,referral,0,0,85,4,1,0,0,0,,0.0
S0000185,U000083,2021-01-07,2,2,1,(direct),(none),1,1,126,6,1,1,0,0,,0.0
S0000186,U000083,2021-01-09,3,1,1,google,cpc,0,0,90,3,1,0,0,0,,0.0
S0000187,U000083,2021-01-12,7,1,1,instagram,social,0,1,67,6,1,0,0,0,,0.0
S0000188,U000084,2021-01-28,3,1,1,google,cpc,1,1,425,6,1,0,0,0,,0.0
S0000189,U000084,2021-01-29,1,1,1,yahoo,organic,0,1,150,5,0,0,0,0,,0.0
S0000190,U000084,2021-01-30,4,1,1,other-referral,referral,0,1,196,4,1,0,0,0,,0.0
S0000191,U000085,2020-12-18,3,1,6,google,cpc,1,0,61,4,1,0,0,0,,0.0
S0000192,U000085,2020-12-22,2,1,6,(direct),(none),0,1,149,7,1,0,0,0,,0.0
S0000193,U000086,2020-12-11,3,1,1,google,cpc,1,1,123,4,1,0,0,0,,0.0
S0000194,U000086,2020-12-12,4,1,1,partner-site,referral,0,1,245,12,1,1,0,0,,0.0
S0000195,U000086,2020-12-13,6,1,1,newsletter,email,0,0,68,5,0,0,0,0,,0.0
S0000196,U000086,2020-12-14,3,1,1,google,cpc,0,1,213,12,1,1,0,0,,0.0
S0000197,U000087,2020-12-29,7,1,1,facebook,social,1,0,14,5,0,0,0,0,,0.0
S0000198,U000087,2020-12-30,6,1,1,promo,email,0,1,107,9,1,0,0,0,,0.0
S0000199,U000087,2021-01-01,7,1,1,youtube,social,0,1,133,2,1,0,0,0,,0.0
S0000200,U000088,2020-11-16,7,1,3,facebook,social,1,1,271,7,1,0,0,0,,0.0
S0000201,U000088,2020-11-22,3,1,3,google,cpc,0,1,106,10,1,0,0,0,,0.0
S0000202,U000088,2020-11-25,1,3,3,google,organic,0,1,73,9,1,0,0,0,,0.0
S0000203,U000089,2020-12-27,2,2,5,(direct),(none),1,0,46,3,0,0,0,0,,0.0
S0000204,U000089,2020-12-28,6,2,5,newsletter,email,0,0,87,4,0,0,0,0,,0.0
S0000205,U000089,2020-12-29,6,2,5,newsletter,email,0,1,122,2,0,0,0,0,,0.0
S0000206,U000089,2020-12-31,1,2,5,google,organic,0,1,414,8,1,1,1,1,O000013,24.99
S0000207,U000090,2020-11-26,1,1,10,google,organic,1,1,287,2,1,0,0,0,,0.0
S0000208,U000091,2020-12-02,5,2,1,dv360,display,1,1,155,2,0,0,0,0,,0.0
S0000209,U000091,2020-12-03,1,1,1,google,organic,0,0,112,4,0,0,0,0,,0.0
S0000210,U000091,2020-12-08,2,1,1,(direct),(none),0,1,125,3,1,0,0,0,,0.0
S0000211,U000092,2020-12-14,1,2,7,google,organic,1,1,146,9,1,1,0,0,,0.0
S0000212,U000092,2020-12-15,1,2,7,google,organic,0,1,161,3,1,0,0,0,,0.0
S0000213,U000092,2020-12-16,3,2,7,google,cpc,0,1,322,12,1,1,1,0,,0.0
S0000214,U000092,2020-12-22,3,2,7,google,cpc,0,1,127,4,1,0,0,0,,0.0
S0000215,U000093,2020-11-28,2,2,3,(direct),(none),1,1,160,3,0,0,0,0,,0.0
S0000216,U000093,2020-11-29,1,2,3,google,organic,0,0,74,3,0,0,0,0,,0.0
S0000217,U000094,2020-11-28,3,1,3,google,cpc,1,1,77,9,0,0,0,0,,0.0
S0000218,U000095,2020-12-10,1,1,1,google,organic,1,0,112,3,1,0,0,0,,0.0
S0000219,U000095,2020-12-12,1,1,1,yahoo,organic,0,1,105,10,1,0,0,0,,0.0
S0000220,U000096,2020-12-05,4,2,1,partner-site,referral,1,1,233,2,1,0,0,0,,0.0
S0000221,U000097,2021-01-12,7,2,2,facebook,social,1,1,69,8,1,0,0,0,,0.0
S0000222,U000097,2021-01-13,2,2,2,(direct),(none),0,1,144,7,1,1,0,0,,0.0
S0000223,U000097,2021-01-14,7,2,2,youtube,social,0,1,447,5,1,1,1,1,O000014,42.98
S0000224,U000097,2021-01-15,2,2,2,(direct),(none),0,1,148,10,1,1,0,0,,0.0
S0000225,U000097,2021-01-16,5,2,2,google,display,0,1,108,6,1,0,0,0,,0.0
S0000226,U000098,2020-11-26,2,1,1,(direct),(none),1,0,65,5,0,0,0,0,,0.0
S0000227,U000098,2020-11-28,6,2,1,newsletter,email,0,1,112,8,1,1,0,0,,0.0
S0000228,U000098,2020-12-01,1,1,1,google,organic,0,0,61,4,0,0,0,0,,0.0
S0000229,U000099,2020-12-09,5,2,1,google,display,1,1,43,6,0,0,0,0,,0.0
S0000230,U000099,2020-12-13,6,2,1,promo,email,0,1,63,6,0,0,0,0,,0.0
S0000231,U000099,2020-12-14,4,2,1,youtube.com,referral,0,0,36,3,0,0,0,0,,0.0
S0000232,U000100,2021-01-26,1,1,1,google,organic,1,1,324,9,1,1,1,1,O000015,12.99
S0000233,U000101,2021-01-31,7,2,10,instagram,social,1,1,142,2,0,0,0,0,,0.0
S0000234,U000101,2021-01-31,3,2,10,bing,cpc,0,1,208,7,1,1,0,0,,0.0
S0000235,U000101,2021-01-31,3,2,10,google,cpc,0,1,135,7,1,0,0,0,,0.0
S0000236,U000101,2021-01-31,5,2,10,dv360,display,0,0,60,1,0,0,0,0,,0.0
S0000237,U000102,2021-01-18,7,1,10,youtube,social,1,0,106,2,0,0,0,0,,0.0
S0000238,U000102,2021-01-21,6,2,10,promo,email,0,1,68,6,0,0,0,0,,0.0
S0000239,U000102,2021-01-22,2,2,10,(direct),(none),0,1,367,14,1,1,1,1,O000016,26.98
S0000240,U000103,2020-12-15,1,1,3,google,organic,1,0,49,3,1,0,0,0,,0.0
S0000241,U000103,2020-12-22,1,1,3,google,organic,0,0,9,3,0,0,0,0,,0.0
S0000242,U000104,2020-11-30,3,2,1,google,cpc,1,1,204,4,1,0,0,0,,0.0
S0000243,U000104,2020-12-03,2,1,1,(direct),(none),0,0,113,4,1,0,0,0,,0.0
S0000244,U000104,2020-12-04,3,1,1,google,cpc,0,1,167,12,1,1,0,0,,0.0
S0000245,U000105,2021-01-06,1,2,1,google,organic,1,1,169,10,1,0,0,0,,0.0
S0000246,U000105,2021-01-08,2,2,1,(direct),(none),0,0,19,4,0,0,0,0,,0.0
S0000247,U000105,2021-01-10,7,2,1,instagram,social,0,0,35,1,0,0,0,0,,0.0
S0000248,U000106,2021-01-10,2,1,1,(direct),(none),1,0,118,5,0,0,0,0,,0.0
S0000249,U000106,2021-01-11,3,1,1,google,cpc,0,0,103,3,0,0,0,0,,0.0
S0000250,U000107,2020-12-26,2,1,1,(direct),(none),1,1,202,9,1,0,0,0,,0.0
S0000251,U000107,2020-12-28,6,1,1,promo,email,0,0,53,4,1,0,0,0,,0.0
S0000252,U000108,2020-12-04,4,2,1,partner-site,referral,1,0,116,4,1,0,0,0,,0.0
S0000253,U000108,2020-12-11,4,2,1,google.com,referral,0,0,115,3,1,0,0,0,,0.0
S0000254,U000109,2020-11-20,3,1,1,google,cpc,1,1,185,10,1,1,1,0,,0.0
S0000255,U000109,2020-11-29,2,1,1,(direct),(none),0,1,137,9,1,0,0,0,,0.0
S0000256,U000110,2020-12-15,4,1,1,partner-site,referral,1,1,176,7,1,0,0,0,,0.0
S0000257,U000110,2020-12-18,1,1,1,bing,organic,0,1,333,4,1,0,0,0,,0.0
S0000258,U000111,2021-01-03,1,2,1,google,organic,1,1,70,8,1,0,0,0,,0.0
S0000259,U000111,2021-01-04,1,2,1,google,organic,0,1,109,6,1,0,0,0,,0.0
S0000260,U000111,2021-01-05,4,2,1,partner-site,referral,0,1,443,18,1,1,1,1,O000017,47.98
S0000261,U000112,2020-12-14,1,1,1,bing,organic,1,1,101,9,1,0,0,0,,0.0
S0000262,U000113,2021-01-31,1,1,10,google,organic,1,1,44,6,1,0,0,0,,0.0
S0000263,U000113,2021-01-31,1,1,10,google,organic,0,0,104,4,1,0,0,0,,0.0
S0000264,U000114,2020-12-24,6,2,1,newsletter,email,1,1,58,9,1,0,0,0,,0.0
S0000265,U000114,2020-12-26,7,1,1,youtube,social,0,1,288,9,1,1,1,1,O000018,59.99
S0000266,U000115,2020-11-26,6,2,10,promo,email,1,0,54,1,1,0,0,0,,0.0
S0000267,U000115,2020-12-01,2,2,10,(direct),(none),0,1,314,6,1,1,1,1,O000019,13.49
S0000268,U000115,2020-12-02,2,2,10,(direct),(none),0,1,182,1,1,0,0,0,,0.0
S0000269,U000115,2020-12-05,2,2,10,(direct),(none),0,1,130,7,1,0,0,0,,0.0
S0000270,U000116,2020-11-29,1,1,10,google,organic,1,1,401,8,1,0,0,0,,0.0
S0000271,U000117,2020-12-21,1,1,4,google,organic,1,1,100,8,1,0,0,0,,0.0
S0000272,U000117,2020-12-31,2,2,4,(direct),(none),0,0,86,4,0,0,0,0,,0.0
S0000273,U000118,2021-01-02,3,1,1,bing,cpc,1,1,144,3,1,0,0,0,,0.0
S0000274,U000118,2021-01-03,1,1,1,google,organic,0,0,38,1,0,0,0,0,,0.0
S0000275,U000118,2021-01-04,4,1,1,partner-site,referral,0,1,114,7,1,0,0,0,,0.0
S0000276,U000118,2021-01-06,2,1,1,(direct),(none),0,1,247,3,1,0,0,0,,0.0
S0000277,U000119,2020-12-24,1,1,1,google,organic,1,0,84,4,1,0,0,0,,0.0
S0000278,U000120,2020-12-29,3,1,1,google,cpc,1,0,118,3,1,0,0,0,,0.0
S0000279,U000120,2020-12-30,6,1,1,promo,email,0,1,147,3,1,0,0,0,,0.0
