CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI
CAMP00023,2025-07-18,2025-07-30,Social,33866,1254,260,55,1090.15,3443.23,2.1585
CAMP00024,2025-10-25,2025-11-09,Search,28584,2003,464,120,3359.74,9895.4,1.9453
CAMP00025,2025-01-11,2025-01-29,Email,54406,4131,1085,215,3838.16,10409.27,1.712
CAMP00026,2025-11-13,2025-12-10,Email,129825,10182,2627,555,8459.57,42060.82,3.972
CAMP00027,2025-12-08,2025-12-18,Search,34010,1975,427,102,2965.61,8919.75,2.0077
CAMP00028,2025-11-07,2025-11-21,Social,38443,939,143,31,618.11,2858.4,3.6244
CAMP00029,2025-04-23,2025-05-19,Email,31720,2324,612,118,2601.96,9282.22,2.5674
CAMP00030,2025-11-11,2025-12-01,Search,34637,2004,447,115,3133.42,8866.98,1.8298
CAMP00031,2025-07-24,2025-08-08,Search,46949,2391,478,109,2976.73,9413.46,2.1623
CAMP00032,2025-02-15,2025-02-26,Display,75149,824,72,4,482.82,215.52,-0.5536
CAMP00033,2025-06-14,2025-06-26,Display,133069,1732,181,31,1113.2,2099.24,0.8858
CAMP00034,2025-01-04,2025-01-12,Social,36714,844,126,23,703.53,1725.27,1.4523
CAMP00035,2025-10-26,2025-11-18,Email,70350,4260,975,189,4164.3,12899.37,2.0976
CAMP00036,2025-06-06,2025-06-26,Influencer,66077,1946,292,63,2130.72,7388.02,2.4674
CAMP00037,2025-09-09,2025-09-26,Social,96444,2679,439,81,2162.06,5208.15,1.4089
CAMP00038,2025-03-28,2025-04-22,Email,81104,5316,1276,248,4358.94,20160.26,3.625
CAMP00039,2025-10-09,2025-11-02,Influencer,53870,1684,290,65,1901.61,5321.53,1.7984
CAMP00040,2025-10-30,2025-11-19,Email,16648,1421,409,93,967.82,5892.22,5.0881
CAMP00041,2025-05-19,2025-06-04,Social,92666,1545,215,29,1108.87,1316.05,0.1868
CAMP00042,2025-06-03,2025-06-13,Email,76731,3935,862,178,2952.53,12410.12,3.2032
CAMP00043,2025-09-11,2025-10-06,Search,47070,2808,615,145,4316.46,14401.22,2.3363
CAMP00044,2025-07-10,2025-08-06,Social,57323,1407,213,37,1091.87,2452.94,1.2465
CAMP00045,2025-02-17,2025-03-03,Search,93754,5319,1182,287,6813.04,23599.04,2.4638
CAMP00046,2025-10-07,2025-10-17,Social,92142,2615,441,87,1932.42,7348.6,2.8028
CAMP00047,2025-01-15,2025-02-05,Social,90918,1913,294,49,1682.92,3833.74,1.278
CAMP00048,2025-11-11,2025-12-01,Search,55565,3118,673,150,3517.0,12962.97,2.6858
CAMP00049,2025-04-09,2025-04-27,Display,19694,211,17,1,143.12,49.81,-0.652
CAMP00050,2025-12-23,2026-01-18,Social,63186,1360,196,32,1120.0,1769.62,0.58
CAMP00051,2025-03-02,2025-03-12,Social,103848,2135,328,54,1643.89,3806.39,1.3155
CAMP00052,2025-06-22,2025-07-04,Email,42009,2954,709,139,2567.74,6997.56,1.7252
CAMP00053,2025-03-16,2025-04-09,Email,67017,5342,1438,341,4134.31,18963.61,3.5869
CAMP00054,2025-12-18,2026-01-08,Social,75776,2302,406,75,2315.14,5995.75,1.5898
CAMP00055,2025-06-17,2025-07-08,Email,34177,2474,589,116,2763.09,6120.5,1.2151
CAMP00056,2025-10-13,2025-10-24,Social,83235,2092,311,62,2113.99,5004.58,1.3674
CAMP00057,2025-08-13,2025-09-02,Social,72820,1750,273,43,1391.21,3887.39,1.7943
CAMP00058,2025-06-21,2025-07-18,Email,35718,1987,451,78,1251.84,6070.35,3.8491
CAMP00059,2025-06-10,2025-07-03,Search,17548,862,174,38,1239.61,2696.09,1.175
CAMP00060,2025-06-08,2025-06-14,Display,40229,393,38,1,262.45,62.7,-0.7611
CAMP00061,2025-03-12,2025-03-23,Social,46175,1391,267,42,1195.73,2758.08,1.3066
CAMP00062,2025-04-07,2025-04-15,Email,181295,13015,3277,636,10315.22,40882.97,2.9634
CAMP00063,2025-09-27,2025-10-03,Social,56206,1139,171,26,881.78,2192.15,1.4861
CAMP00064,2025-09-10,2025-10-06,Search,24536,1534,376,91,2385.17,8823.67,2.6994
CAMP00065,2025-01-15,2025-02-06,Influencer,24041,861,158,32,1000.58,3450.29,2.4483
CAMP00066,2025-05-06,2025-05-29,Influencer,71828,2670,507,118,2667.11,10521.74,2.945
CAMP00067,2025-05-22,2025-06-09,Search,80520,5598,1353,393,8759.97,27129.81,2.097
CAMP00068,2025-05-10,2025-05-19,Email,63989,5481,1473,344,4695.28,20643.63,3.3967
CAMP00069,2025-02-18,2025-03-12,Display,58290,608,57,8,366.89,405.71,0.1058
CAMP00070,2025-01-08,2025-01-20,Email,21464,1657,425,94,1374.09,7380.8,4.3714
CAMP00071,2025-05-25,2025-06-16,Social,77605,2324,388,82,1893.1,5500.82,1.9057
CAMP00072,2025-02-05,2025-03-03,Email,12633,1169,354,93,1013.04,6593.69,5.5088
CAMP00073,2025-12-01,2025-12-12,Display,83891,883,72,12,648.03,628.68,-0.0299
CAMP00074,2025-03-19,2025-04-05,Influencer,12844,483,86,21,546.71,2343.09,3.2858
CAMP00075,2025-02-14,2025-02-26,Influencer,21945,601,98,19,667.89,1581.71,1.3682
CAMP00076,2025-02-04,2025-02-14,Social,44068,1247,206,33,1106.84,2816.51,1.5446
CAMP00077,2025-01-14,2025-02-02,Search,34478,1638,341,69,2053.27,7319.16,2.5646
CAMP00078,2025-05-23,2025-06-07,Influencer,42410,1249,184,32,1325.64,2729.39,1.0589
CAMP00079,2025-10-27,2025-11-22,Search,31883,2025,459,114,2414.57,11769.33,3.8743
CAMP00080,2025-06-20,2025-07-08,Search,85855,3691,739,138,4991.67,11224.42,1.2486
CAMP00081,2025-08-24,2025-09-02,Search,99028,7914,2155,609,12594.44,59871.12,3.7538
CAMP00082,2025-04-10,2025-04-17,Social,67290,1794,321,47,1631.22,3287.35,1.0153
CAMP00083,2025-03-04,2025-03-20,Social,70573,2165,368,62,1659.13,3659.54,1.2057
CAMP00084,2025-05-25,2025-06-05,Search,41665,1921,382,89,3510.78,7319.19,1.0848
CAMP00085,2025-01-15,2025-02-07,Search,11360,616,129,29,867.41,2626.94,2.0285
CAMP00086,2025-04-16,2025-05-10,Social,45050,2064,440,97,1461.86,6936.25,3.7448
CAMP00087,2025-03-28,2025-04-13,Social,47686,1047,170,31,719.5,2044.61,1.8417
CAMP00088,2025-01-06,2025-01-14,Social,60812,1736,306,52,1319.15,3770.56,1.8583
CAMP00089,2025-01-18,2025-02-11,Social,167470,5292,1017,239,3585.28,15455.43,3.3108
CAMP00090,2025-02-16,2025-02-22,Influencer,65528,2878,607,145,3123.19,10650.55,2.4102
CAMP00091,2025-12-03,2025-12-13,Influencer,59443,2671,554,135,2827.34,11528.31,3.0774
CAMP00092,2025-10-25,2025-11-13,Search,62449,3605,817,208,5771.59,14716.44,1.5498
CAMP00093,2025-05-20,2025-06-09,Influencer,134768,4594,805,191,4855.09,24076.69,3.9591
CAMP00094,2025-07-17,2025-07-29,Display,60933,645,67,6,431.36,460.91,0.0685
CAMP00095,2025-09-09,2025-09-22,Social,38905,1261,211,42,1048.61,2521.86,1.405
CAMP00096,2025-09-21,2025-10-08,Social,7706,228,27,3,175.94,159.12,-0.0956
CAMP00097,2025-07-29,2025-08-10,Social,65414,1505,263,55,1111.79,3448.41,2.1017
CAMP00098,2025-09-18,2025-10-11,Influencer,33261,1047,180,31,1056.82,1968.56,0.8627
CAMP00099,2025-11-12,2025-12-08,Search,56389,3123,690,152,4078.29,10054.38,1.4653
CAMP00100,2025-08-18,2025-08-28,Social,73185,1904,282,38,1755.83,2609.71,0.4863
CAMP00101,2025-07-04,2025-07-25,Display,122486,1370,119,18,977.41,1286.67,0.3164
CAMP00102,2025-01-17,2025-01-25,Search,88766,5860,1391,367,7293.03,28600.64,2.9216
CAMP00103,2025-01-26,2025-02-12,Social,64715,1500,207,42,1077.13,3537.01,2.2837
CAMP00104,2025-07-08,2025-08-01,Email,63183,4761,1281,251,3174.42,17439.85,4.4939
CAMP00105,2025-08-15,2025-09-01,Display,93880,949,84,11,625.25,822.62,0.3157
CAMP00106,2025-08-08,2025-09-01,Search,120020,6144,1332,290,8725.14,24515.81,1.8098
CAMP00107,2025-10-03,2025-10-20,Social,51916,1158,177,27,947.33,1686.78,0.7806
CAMP00108,2025-04-20,2025-05-06,Display,55779,846,89,11,533.11,770.31,0.4449
CAMP00109,2025-01-10,2025-01-18,Social,66316,1246,199,33,1047.6,2810.62,1.6829
CAMP00110,2025-04-21,2025-05-16,Email,56506,4558,1190,276,3978.06,18790.91,3.7236
CAMP00111,2025-05-31,2025-06-16,Social,27966,858,141,28,789.39,2017.12,1.5553
CAMP00112,2025-11-22,2025-12-02,Email,83114,5995,1523,337,4331.4,22576.65,4.2123
CAMP00113,2025-03-27,2025-04-06,Social,57465,1483,240,42,1232.81,2697.77,1.1883
CAMP00114,2025-12-14,2025-12-25,Search,29045,1789,393,99,2665.49,8588.33,2.222
CAMP00115,2025-10-06,2025-10-29,Search,46305,3256,789,208,4565.2,14024.52,2.072
CAMP00116,2025-09-13,2025-09-24,Search,56331,4205,1074,333,5071.01,30237.09,4.9627
CAMP00117,2025-12-26,2026-01-07,Search,20470,749,143,20,1115.51,1491.66,0.3372
CAMP00118,2025-04-13,2025-05-06,Social,64789,1340,210,35,1010.24,2242.43,1.2197
CAMP00119,2025-03-09,2025-03-29,Search,36618,2431,540,145,3232.48,11260.65,2.4836
CAMP00120,2025-04-30,2025-05-13,Social,70184,1912,330,67,1670.96,3822.81,1.2878
CAMP00121,2025-10-28,2025-11-12,Social,40893,1046,172,43,742.83,3603.85,3.8515
CAMP00122,2025-10-28,2025-11-18,Influencer,67639,2501,461,97,2927.18,8612.21,1.9422
CAMP00123,2025-04-11,2025-04-29,Email,85332,6448,1672,362,5984.93,24522.58,3.0974
CAMP00124,2025-05-10,2025-05-31,Email,49268,2995,705,141,2483.27,8239.49,2.318
CAMP00125,2025-02-07,2025-03-04,Email,81262,6678,1777,392,4964.59,25156.37,4.0672
CAMP00126,2025-09-28,2025-10-11,Search,114745,6777,1549,392,10762.11,29238.02,1.7168
CAMP00127,2025-09-04,2025-09-26,Social,33150,933,173,34,762.25,1951.45,1.5601
CAMP00128,2025-12-15,2025-12-25,Display,87302,906,76,12,557.92,776.56,0.3919
CAMP00129,2025-06-07,2025-06-26,Email,79938,6759,1903,410,5139.67,18419.37,2.5838
CAMP00130,2025-11-16,2025-12-05,Social,31738,1006,184,45,881.78,4049.12,3.592
CAMP00131,2025-06-12,2025-06-24,Influencer,65577,2098,336,79,2047.86,6578.07,2.2122
CAMP00132,2025-12-31,2026-01-07,Social,35651,1147,198,53,943.87,3797.08,3.0229
CAMP00133,2025-11-27,2025-12-21,Display,76656,909,82,13,660.7,954.41,0.4445
CAMP00134,2025-11-06,2025-12-03,Influencer,48431,1896,341,84,1894.92,6612.37,2.4895
CAMP00135,2025-06-10,2025-07-03,Search,12628,699,137,33,976.35,2951.0,2.0225
CAMP00136,2025-07-24,2025-08-02,Social,53885,1462,247,54,1269.69,3304.51,1.6026
CAMP00137,2025-06-20,2025-07-07,Social,38875,853,140,23,696.89,1523.77,1.1865
CAMP00138,2025-04-23,2025-05-05,Display,19282,209,21,4,156.75,246.14,0.5703
CAMP00139,2025-06-19,2025-07-13,Email,39509,2718,644,119,2137.39,7906.69,2.6992
CAMP00140,2025-01-04,2025-01-18,Social,42602,1268,209,33,926.08,2158.08,1.3303
CAMP00141,2025-12-07,2025-12-29,Social,76107,1851,302,50,1475.49,3209.18,1.175
CAMP00142,2025-11-11,2025-11-30,Email,119827,6774,1526,284,5630.62,18431.56,2.2735
CAMP00143,2025-01-06,2025-01-20,Search,37551,1635,343,72,2079.11,4696.34,1.2588
CAMP00144,2025-12-27,2026-01-02,Email,35442,2770,746,147,2341.1,12816.57,4.4746
CAMP00145,2025-11-26,2025-12-14,Influencer,116488,4614,866,187,4632.95,13413.32,1.8952
CAMP00146,2025-07-28,2025-08-13,Search,85469,3676,727,159,4918.71,10544.63,1.1438
CAMP00147,2025-12-08,2025-12-20,Search,96916,5300,1186,283,5766.32,28532.32,3.9481
CAMP00148,2025-02-14,2025-02-25,Email,59336,2751,515,89,2459.83,7118.78,1.894
CAMP00149,2025-03-22,2025-04-07,Search,41374,2625,641,145,3831.07,12396.37,2.2357
CAMP00150,2025-08-08,2025-09-04,Search,32973,2584,686,197,3380.04,19008.94,4.6239
CAMP00151,2025-07-01,2025-07-18,Influencer,26957,1188,229,60,1079.98,4832.94,3.475
CAMP00152,2025-05-29,2025-06-19,Email,68690,5577,1584,335,5993.08,22090.98,2.6861
CAMP00153,2025-06-01,2025-06-10,Social,29758,739,139,26,562.16,2126.2,2.7822
CAMP00154,2025-02-05,2025-02-24,Search,69398,2915,543,100,4234.63,8990.5,1.1231
CAMP00155,2025-01-24,2025-02-11,Social,61044,1799,312,56,1191.29,5463.81,3.5865
CAMP00156,2025-01-06,2025-01-20,Search,47314,2913,659,150,3217.39,13415.46,3.1697
CAMP00157,2025-11-12,2025-11-22,Display,113296,1269,133,23,838.76,1376.29,0.6409
CAMP00158,2025-06-10,2025-06-19,Email,46055,1866,331,56,2063.32,2710.55,0.3137
CAMP00159,2025-05-30,2025-06-19,Search,122196,5529,1074,208,7378.61,17457.13,1.3659
CAMP00160,2025-04-19,2025-04-30,Display,58769,677,63,9,459.56,532.82,0.1594
CAMP00161,2025-10-31,2025-11-21,Social,101733,2636,419,93,1996.24,9401.38,3.7095
CAMP00162,2025-04-21,2025-04-29,Email,42580,2668,645,144,2202.94,13046.87,4.9225
CAMP00163,2025-01-27,2025-02-11,Search,52438,2685,545,129,3645.96,10755.56,1.95
CAMP00164,2025-08-23,2025-09-12,Display,36880,425,43,7,291.53,449.69,0.5425
CAMP00165,2025-12-04,2025-12-20,Email,53284,4344,1176,250,2988.36,14965.04,4.0078
CAMP00166,2025-05-20,2025-05-28,Search,57556,3331,743,181,4212.16,14661.29,2.4807
CAMP00167,2025-02-27,2025-03-06,Influencer,76933,2361,408,73,3001.76,5181.48,0.7261
CAMP00168,2025-12-23,2025-12-29,Search,24332,1234,252,69,1601.81,6551.9,3.0903
CAMP00169,2025-01-17,2025-02-03,Search,24586,1309,301,78,1889.3,5977.77,2.164
CAMP00170,2025-03-23,2025-04-15,Email,47587,3850,1017,236,3468.64,17022.86,3.9076
CAMP00171,2025-03-06,2025-03-20,Search,31048,1527,340,70,1922.16,7079.73,2.6832
CAMP00172,2025-01-13,2025-02-09,Email,139198,16291,5227,1347,14611.12,70436.97,3.8208
CAMP00173,2025-02-20,2025-03-14,Social,55808,1263,179,26,936.41,1547.82,0.6529
CAMP00174,2025-03-12,2025-04-03,Influencer,34660,1000,153,32,1055.62,2811.53,1.6634
CAMP00175,2025-05-09,2025-05-28,Influencer,126484,4243,702,156,5043.6,16551.69,2.2817
CAMP00176,2025-08-30,2025-09-08,Search,47164,2594,573,137,3724.95,10780.52,1.8941
CAMP00177,2025-01-15,2025-01-22,Display,57462,808,88,11,571.41,635.56,0.1123
CAMP00178,2025-07-09,2025-07-24,Search,39202,2326,518,120,3107.85,13181.92,3.2415
CAMP00179,2025-06-14,2025-07-06,Display,75901,938,88,13,663.57,840.79,0.2671
CAMP00180,2025-11-05,2025-11-11,Search,102176,4634,933,199,6363.99,15561.83,1.4453
CAMP00181,2025-11-08,2025-11-25,Social,64028,1368,221,34,1056.4,1711.18,0.6198
CAMP00182,2025-04-30,2025-05-25,Social,151896,4211,709,153,3304.66,11110.36,2.362
CAMP00183,2025-03-27,2025-04-22,Display,46947,739,87,19,391.14,1474.96,2.7709
CAMP00184,2025-03-07,2025-03-18,Influencer,58022,1507,239,42,1990.19,3812.08,0.9154
CAMP00185,2025-07-10,2025-07-16,Search,59042,2825,619,151,5831.07,11891.33,1.0393
CAMP00186,2025-10-15,2025-11-11,Social,67550,1776,275,58,1670.85,3335.04,0.996
CAMP00187,2025-12-14,2026-01-02,Display,5899,68,7,1,38.51,73.72,0.9143
CAMP00188,2025-03-27,2025-04-23,Search,92473,4465,929,212,6125.13,16220.82,1.6482
CAMP00189,2025-08-07,2025-09-02,Social,192300,4921,802,129,3330.31,7507.31,1.2542
CAMP00190,2025-07-27,2025-08-11,Email,21110,1093,239,35,939.7,2474.85,1.6337
CAMP00191,2025-08-13,2025-08-24,Search,35661,1801,386,85,2545.91,6517.64,1.56
CAMP00192,2025-08-08,2025-09-02,Social,97447,3759,728,160,3082.92,12137.83,2.9371
CAMP00193,2025-09-29,2025-10-16,Email,133411,6465,1308,200,5985.14,17456.36,1.9166
CAMP00194,2025-10-21,2025-11-14,Social,92481,1999,315,58,1661.96,4324.19,1.6019
CAMP00195,2025-09-05,2025-09-21,Social,165631,4597,780,128,3046.03,8068.23,1.6488
CAMP00196,2025-08-17,2025-09-13,Social,85348,2542,460,86,2090.36,5185.79,1.4808
CAMP00197,2025-09-20,2025-10-11,Influencer,35742,1867,403,106,1838.39,8784.51,3.7784
CAMP00198,2025-10-27,2025-11-19,Search,72419,5261,1355,380,6253.74,30426.06,3.8653
CAMP00199,2025-04-24,2025-05-21,Search,171307,11569,2857,782,20853.07,51270.5,1.4587
CAMP00200,2025-03-30,2025-04-25,Email,74257,4393,982,177,3864.84,11364.99,1.9406
CAMP00201,2025-09-02,2025-09-08,Display,31984,575,62,14,412.25,958.68,1.3255
CAMP00202,2025-05-16,2025-06-06,Social,56239,1564,271,41,1482.98,2693.68,0.8164
CAMP00203,2025-04-09,2025-05-05,Search,93042,4309,913,210,5423.62,14753.16,1.7202
CAMP00204,2025-07-04,2025-07-26,Display,48183,477,50,6,325.02,464.27,0.4284
CAMP00205,2025-04-20,2025-05-12,Display,59059,946,98,17,579.47,1179.14,1.0349
CAMP00206,2025-01-28,2025-02-11,Display,85053,1010,94,12,640.64,913.57,0.426
CAMP00207,2025-11-18,2025-12-09,Search,31164,1818,402,91,2457.63,8492.45,2.4555
CAMP00208,2025-05-14,2025-05-30,Search,27797,1206,241,40,1828.31,2593.41,0.4185
CAMP00209,2025-04-30,2025-05-11,Influencer,107744,3425,576,95,4201.97,7901.88,0.8805
CAMP00210,2025-11-01,2025-11-23,Display,57437,796,77,19,629.68,1044.25,0.6584
CAMP00211,2025-10-11,2025-10-26,Search,32837,1794,414,84,1934.51,7246.15,2.7457
CAMP00212,2025-10-21,2025-11-14,Social,42436,779,108,14,715.4,714.77,-0.0009
CAMP00213,2025-04-17,2025-04-28,Search,93418,4075,824,176,5749.72,14709.21,1.5582
CAMP00214,2025-11-28,2025-12-18,Email,23833,1618,396,82,1193.86,7432.85,5.2259
CAMP00215,2025-11-11,2025-12-08,Search,68408,3143,653,164,4364.96,14618.66,2.3491
CAMP00216,2025-06-04,2025-07-01,Search,73117,3513,767,159,4193.06,11622.56,1.7719
CAMP00217,2025-11-22,2025-12-01,Search,15063,835,188,46,1054.3,3433.61,2.2568
CAMP00218,2025-04-20,2025-05-10,Influencer,27434,978,183,41,1071.4,3297.46,2.0777
CAMP00219,2025-01-11,2025-01-20,Social,64834,2088,406,92,1557.86,9470.36,5.0791
CAMP00220,2025-09-18,2025-10-11,Search,132449,8975,2217,554,14503.96,38330.93,1.6428
CAMP00221,2025-07-10,2025-07-31,Email,40740,3403,939,187,2369.1,12212.37,4.1549
CAMP00222,2025-12-17,2026-01-07,Social,89368,1951,305,57,1393.28,3397.54,1.4385
CAMP00223,2025-07-16,2025-08-09,Social,73539,1988,335,50,1485.03,3799.78,1.5587
CAMP00224,2025-08-21,2025-09-15,Social,86985,2003,308,56,1226.92,4179.14,2.4062
CAMP00225,2025-10-18,2025-11-05,Email,36032,3383,1001,237,2412.9,21727.71,8.0048
CAMP00226,2025-05-17,2025-05-31,Email,68258,4248,985,197,3573.11,12349.93,2.4564
CAMP00227,2025-01-04,2025-01-31,Social,44072,1074,146,33,759.9,2473.76,2.2554
CAMP00228,2025-02-17,2025-03-06,Influencer,92651,3750,706,148,4020.14,12147.25,2.0216
CAMP00229,2025-02-11,2025-03-06,Social,67174,1637,254,41,1321.15,2953.98,1.2359
CAMP00230,2025-09-14,2025-10-09,Influencer,33514,937,142,27,1053.52,2761.93,1.6216
CAMP00231,2025-04-20,2025-04-29,Search,62885,3126,706,156,4739.23,14142.57,1.9841
CAMP00232,2025-04-06,2025-04-22,Search,88585,6962,1833,499,9254.55,37661.42,3.0695
CAMP00233,2025-09-05,2025-09-29,Display,80436,1080,100,15,665.45,887.16,0.3332
CAMP00234,2025-08-01,2025-08-18,Social,79330,2179,383,64,1668.87,5839.81,2.4993
CAMP00235,2025-07-02,2025-07-25,Social,38639,1222,204,39,999.97,2560.46,1.5605
CAMP00236,2025-05-13,2025-05-27,Email,31647,2458,667,155,2274.63,10017.86,3.4042
CAMP00237,2025-04-03,2025-04-18,Search,88560,3450,637,137,4595.53,11266.1,1.4515
CAMP00238,2025-07-23,2025-08-06,Social,43368,1226,203,27,892.45,1831.98,1.0528
CAMP00239,2025-11-03,2025-11-12,Email,66736,3516,766,133,3218.26,10097.25,2.1375
CAMP00240,2025-04-20,2025-05-16,Email,49558,4534,1277,277,4264.24,12339.01,1.8936
CAMP00241,2025-08-06,2025-08-21,Display,36616,521,67,9,370.9,654.61,0.7649
CAMP00242,2025-04-22,2025-05-14,Influencer,77403,2543,459,90,2514.67,7541.73,1.9991
CAMP00243,2025-06-14,2025-06-22,Influencer,70521,2340,406,94,2407.85,7184.52,1.9838
CAMP00244,2025-12-24,2026-01-18,Social,32520,612,93,19,562.34,1350.08,1.4008
CAMP00245,2025-12-03,2025-12-09,Search,61540,2575,474,107,4104.39,9119.53,1.2219
CAMP00246,2025-08-08,2025-09-04,Search,27955,1568,315,72,2110.88,5880.88,1.786
CAMP00247,2025-09-03,2025-09-16,Social,25182,812,160,31,719.24,2005.92,1.7889
CAMP00248,2025-08-20,2025-09-05,Search,54897,2193,413,77,2772.29,5069.32,0.8286
CAMP00249,2025-08-22,2025-09-11,Search,46847,2687,601,146,3352.49,10206.23,2.0444
CAMP00250,2025-05-13,2025-05-19,Search,11579,627,141,33,1061.96,2295.8,1.1619
CAMP00251,2025-08-19,2025-09-06,Influencer,32130,1169,217,49,1220.39,4334.25,2.5515
CAMP00252,2025-04-28,2025-05-25,Search,28943,1819,427,125,2752.43,11837.64,3.3008
CAMP00253,2025-04-29,2025-05-07,Search,38672,2507,628,167,3390.55,12929.47,2.8134
CAMP00254,2025-07-18,2025-08-12,Influencer,91356,3291,641,173,3573.07,12744.68,2.5669
CAMP00255,2025-04-29,2025-05-26,Social,60290,1521,210,43,1098.3,3818.03,2.4763
CAMP00256,2025-04-16,2025-05-02,Display,59452,821,92,13,489.38,888.27,0.8151
CAMP00257,2025-08-31,2025-09-27,Email,65035,4566,1147,235,4356.52,19159.82,3.398
CAMP00258,2025-07-08,2025-07-22,Influencer,61068,2492,472,100,3347.83,7444.63,1.2237
CAMP00259,2025-06-13,2025-06-26,Influencer,88515,3269,607,132,3577.3,9858.2,1.7558
CAMP00260,2025-02-11,2025-03-02,Social,45689,899,130,23,678.0,1533.66,1.262
CAMP00261,2025-11-22,2025-12-08,Influencer,96512,3270,551,115,3613.48,14004.48,2.8756
CAMP00262,2025-04-30,2025-05-22,Social,67449,2196,405,84,1791.0,6388.83,2.5672
CAMP00263,2025-11-07,2025-11-15,Email,68586,4856,1253,248,3624.73,15142.48,3.1775
CAMP00264,2025-01-08,2025-01-21,Display,58078,732,71,6,450.5,380.14,-0.1562
CAMP00265,2025-03-07,2025-03-30,Social,42012,927,131,18,890.27,1425.63,0.6013
CAMP00266,2025-09-15,2025-10-11,Search,57297,3127,648,156,5021.63,13810.18,1.7501
CAMP00267,2025-08-02,2025-08-27,Social,52885,1461,225,34,1254.56,2182.65,0.7398
CAMP00268,2025-06-26,2025-07-12,Search,26208,1498,324,75,2124.12,5932.12,1.7927
CAMP00269,2025-12-20,2026-01-13,Display,91970,1349,151,26,957.06,1624.98,0.6979
CAMP00270,2025-11-27,2025-12-08,Social,60500,1322,193,28,1234.28,2074.85,0.681
CAMP00271,2025-06-24,2025-07-15,Search,136986,8472,1927,467,11312.69,35403.39,2.1295
CAMP00272,2025-03-27,2025-04-04,Influencer,69853,2651,536,113,2830.09,8072.6,1.8524
CAMP00273,2025-07-15,2025-08-09,Influencer,57375,1996,373,74,1929.27,5455.14,1.8276
CAMP00274,2025-08-13,2025-09-01,Display,70845,692,61,12,455.49,671.22,0.4736
CAMP00275,2025-08-14,2025-08-30,Email,41853,2938,705,133,1965.7,8629.85,3.3902
CAMP00276,2025-09-21,2025-10-10,Social,68601,1782,298,68,1513.98,4284.88,1.8302
CAMP00277,2025-07-11,2025-07-28,Search,107205,6674,1504,398,10075.25,30918.16,2.0687
CAMP00278,2025-11-20,2025-11-29,Search,44040,3903,1092,329,6818.29,20690.17,2.0345
CAMP00279,2025-10-24,2025-11-14,Email,70035,5029,1265,259,3975.2,10676.34,1.6857
CAMP00280,2025-07-12,2025-07-27,Email,35027,3045,844,189,3080.16,12416.71,3.0312
CAMP00281,2025-03-10,2025-03-31,Display,123582,1512,168,29,1163.97,2665.37,1.2899
CAMP00282,2025-10-14,2025-10-25,Search,33198,2589,699,192,3875.86,11411.51,1.9443
CAMP00283,2025-10-29,2025-11-17,Search,50431,3107,724,210,4037.89,15598.85,2.8631
CAMP00284,2025-09-09,2025-09-20,Social,11819,276,47,7,169.01,459.57,1.7192
