learner_id,age,prior_score,prior_courses,weekly_hours,videos_watched,assignments_done,quiz_avg,forum_posts,logins_per_week,support_tickets,days_since_signup,signup_hour,plan,device,region,email_verified,completed
L10052,23,92.7,2,0.28,11,0,35.2,3,5.4,0,39,3,basic,mobile,South,yes,no
L10053,51,65.5,5,3.75,15,2,30.4,3,5.6,1,92,21,free,desktop,North,yes,no
L10054,26,60.1,5,7.53,13,3,76.5,9,3.5,1,27,13,basic,tablet,North,yes,yes
L10055,55,63.9,2,4.09,11,4,44.5,3,4.5,1,19,9,free,desktop,South,yes,yes
L10056,31,67.0,0,3.07,23,8,46.4,2,3.3,0,92,22,free,mobile,West,yes,yes
L10057,23,33.7,5,10.15,16,0,62.3,2,3.5,1,67,13,basic,desktop,North,no,no
L10058,37,69.3,2,3.32,19,5,68.3,1,6.8,0,26,18,basic,mobile,East,yes,no
L10059,27,27.2,4,8.22,19,2,54.3,2,2.1,0,11,13,premium,desktop,North,yes,yes
L10060,32,66.4,3,4.24,14,1,85.0,2,3.8,0,37,4,free,mobile,South,yes,no
L10061,45,57.0,2,2.17,16,9,79.4,4,1.8,1,74,1,premium,desktop,South,yes,no
L10062,31,77.7,4,1.81,19,10,45.3,3,4.6,2,72,9,basic,desktop,South,yes,no
L10063,20,69.2,0,3.8,19,3,56.8,8,5.9,0,57,19,basic,mobile,South,yes,no
L10064,50,71.6,2,4.47,19,5,79.6,4,4.1,1,7,9,free,desktop,West,yes,yes
L10065,23,62.2,5,2.52,17,4,62.4,4,0.3,1,80,5,premium,desktop,West,yes,no
L10066,53,39.4,3,3.23,13,0,45.1,4,3.2,1,8,4,free,desktop,West,yes,no
L10067,46,78.5,1,6.87,12,9,22.5,3,2.7,2,83,10,free,mobile,North,yes,no
L10068,29,40.5,2,8.1,16,4,46.2,4,5.8,0,71,11,free,desktop,North,yes,no
L10069,28,63.7,2,0.26,15,4,73.3,3,1.7,1,23,18,premium,desktop,East,no,yes
L10070,56,48.1,0,0.69,16,0,74.2,4,4.3,1,65,13,premium,desktop,North,yes,no
L10071,47,62.5,4,1.47,14,2,46.5,6,5.1,0,27,0,free,mobile,South,yes,no
L10072,26,55.8,4,5.15,15,7,52.3,4,3.1,1,91,22,premium,desktop,West,yes,yes
L10073,26,52.3,4,6.4,21,0,41.7,3,3.8,1,82,15,basic,desktop,East,yes,no
L10074,18,29.5,1,3.73,27,2,48.5,1,0.4,0,54,13,basic,desktop,West,yes,no
L10075,29,58.9,4,4.97,18,2,54.2,6,4.5,1,10,16,free,desktop,North,yes,no
L10076,24,47.0,1,1.37,21,7,62.5,4,2.2,2,58,20,basic,mobile,North,yes,no
L10077,27,77.7,1,4.2,20,1,70.9,2,4.2,2,96,20,free,desktop,South,yes,no
L10078,47,60.4,0,8.3,11,1,45.3,3,4.1,1,61,9,free,mobile,South,yes,no
L10079,55,74.9,2,1.45,14,6,54.2,4,6.6,4,92,4,premium,desktop,East,yes,yes
L10080,35,41.6,2,9.41,20,9,45.3,6,3.1,0,89,1,free,desktop,West,yes,yes
L10081,33,65.3,5,5.23,27,2,56.6,2,1.7,1,54,1,free,desktop,North,yes,no
L10082,41,61.0,5,9.14,19,6,31.7,4,3.0,0,78,22,free,desktop,North,yes,no
L10083,58,52.4,3,3.95,20,5,64.2,2,0.1,0,59,17,free,mobile,East,no,no
L10084,40,80.5,0,6.06,17,9,38.0,5,5.4,1,84,7,free,desktop,East,yes,yes
L10085,26,44.8,0,6.9,13,9,72.2,5,0.6,1,102,18,free,desktop,East,yes,yes
L10086,50,46.8,5,0.73,14,5,69.7,2,6.2,1,19,16,free,desktop,West,yes,no
L10087,23,47.6,4,1.86,13,4,65.3,8,3.7,0,44,13,free,desktop,North,yes,no
L10088,30,60.0,3,1.72,18,1,77.3,2,4.7,0,100,21,free,tablet,East,yes,no
L10089,56,52.6,4,1.38,13,3,80.8,1,3.8,0,12,3,free,desktop,South,yes,no
L10090,50,59.4,4,4.85,11,7,70.3,3,4.0,0,32,16,free,desktop,East,yes,yes
L10091,55,25.2,1,3.73,18,7,83.8,6,4.9,1,91,21,basic,desktop,West,yes,no
L10092,44,34.0,2,3.55,19,7,38.6,4,4.6,1,59,16,free,mobile,North,yes,no
L10093,19,72.5,3,0.43,16,2,75.2,2,6.3,1,23,22,basic,desktop,East,yes,no
L10094,18,38.2,1,3.82,19,0,64.5,2,5.1,2,94,16,free,desktop,South,yes,no
L10095,25,54.0,2,5.1,22,10,42.1,2,7.0,1,25,15,premium,mobile,East,no,yes
L10096,59,67.1,0,3.86,17,2,26.4,2,5.4,0,96,1,premium,desktop,South,yes,no
L10097,37,58.4,0,1.66,25,7,98.0,0,3.4,1,54,10,premium,desktop,South,yes,yes
L10098,57,81.4,3,3.16,22,10,87.0,4,5.3,0,22,16,basic,mobile,North,yes,yes
L10099,28,79.9,2,4.72,12,0,36.6,1,2.2,4,17,17,free,tablet,East,yes,no
L10100,50,65.1,2,2.72,16,1,54.5,3,6.4,3,80,8,free,desktop,West,yes,no
L10101,57,69.6,2,6.18,21,2,39.8,3,4.1,0,45,14,free,desktop,North,yes,yes
L10102,46,71.0,2,8.1,14,9,50.4,3,2.8,0,41,6,premium,mobile,North,yes,no
L10103,41,57.8,4,4.65,27,4,60.8,2,1.6,0,39,1,free,mobile,North,yes,no
L10104,54,43.8,5,2.29,14,5,72.8,3,1.7,1,54,23,basic,tablet,North,yes,yes
L10105,39,62.1,2,7.13,17,10,46.2,5,3.3,1,115,23,premium,desktop,West,yes,yes
L10106,30,44.7,4,2.16,12,7,44.5,1,4.3,1,109,15,free,mobile,North,yes,no
L10107,36,61.4,1,3.07,19,8,49.9,3,4.3,0,71,4,basic,desktop,East,yes,yes
L10108,18,71.5,0,6.02,24,7,23.4,5,5.6,2,55,4,basic,desktop,South,yes,yes
L10109,30,69.7,1,7.35,22,1,45.6,0,2.2,0,86,22,premium,mobile,South,yes,no
L10110,25,52.5,1,1.8,20,3,,1,3.6,2,28,7,premium,desktop,East,yes,yes
L10111,53,74.3,4,4.36,20,4,63.6,2,2.6,2,77,17,free,mobile,West,no,no
L10112,34,57.8,4,4.38,23,7,44.2,4,2.4,2,6,2,free,desktop,West,yes,yes
L10113,55,90.6,5,3.87,19,1,86.2,0,4.1,2,54,23,premium,desktop,East,yes,yes
L10114,37,66.0,3,7.91,18,9,67.0,3,5.7,2,9,7,free,mobile,East,yes,yes
L10115,30,51.1,4,6.78,23,1,33.9,4,6.5,0,89,11,premium,desktop,North,yes,no
L10116,17,69.3,3,6.49,27,6,45.7,2,3.8,2,117,2,free,mobile,West,yes,yes
L10117,30,71.3,3,9.23,17,0,74.9,4,3.0,1,8,4,premium,desktop,West,yes,yes
L10118,37,62.3,0,5.39,21,9,24.4,4,0.0,0,17,7,free,desktop,North,no,no
L10119,39,89.7,4,9.68,22,6,40.9,1,6.7,2,30,17,premium,mobile,West,no,yes
L10120,37,52.1,5,4.63,15,10,58.1,1,2.2,1,102,10,basic,mobile,West,yes,no
L10121,58,50.7,5,14.48,10,7,59.3,1,0.0,1,21,18,basic,desktop,South,yes,yes
L10122,31,46.1,2,3.63,18,4,27.9,2,4.5,0,71,0,premium,mobile,East,yes,no
L10123,34,73.3,2,4.88,14,0,80.5,1,8.1,1,92,8,basic,desktop,North,yes,yes
L10124,35,58.1,0,3.82,23,7,61.1,1,5.2,0,102,7,premium,desktop,South,yes,yes
L10125,53,67.6,5,0.92,24,7,77.9,2,4.9,4,41,20,free,desktop,North,yes,yes
L10126,20,55.9,0,5.87,16,10,62.5,1,5.8,2,58,16,free,desktop,South,yes,no
L10127,59,74.8,0,9.81,18,4,31.8,5,7.6,0,95,21,basic,desktop,East,no,no
L10128,17,42.3,1,4.95,28,5,41.6,5,6.5,0,48,0,basic,tablet,East,no,no
L10129,32,55.8,5,9.45,22,1,63.0,3,1.0,0,2,18,free,desktop,East,yes,no
L10130,19,42.6,1,2.07,23,3,69.2,1,2.8,1,63,18,basic,mobile,West,yes,no
L10131,35,68.7,2,0.75,17,2,75.0,2,0.3,0,38,15,free,mobile,East,yes,no
L10132,19,27.9,4,11.75,13,10,42.6,2,5.0,0,83,13,premium,mobile,South,yes,yes
L10133,59,59.8,4,4.46,13,1,80.4,2,3.7,1,115,8,premium,desktop,East,yes,yes
L10134,35,91.5,0,10.95,16,9,59.8,2,3.6,1,3,13,premium,tablet,North,yes,yes
L10135,51,47.9,5,2.75,20,10,82.7,4,3.4,0,27,14,free,desktop,North,yes,yes
L10136,44,55.3,1,15.94,23,6,72.4,3,3.6,1,41,14,free,desktop,South,yes,yes
L10137,56,67.9,0,3.85,21,4,67.7,3,1.6,0,7,3,basic,mobile,East,yes,no
L10138,25,68.2,2,3.44,28,7,42.2,4,0.0,2,70,11,free,desktop,South,yes,no
L10139,34,63.6,5,0.24,20,9,40.2,3,4.5,1,111,17,basic,mobile,West,yes,yes
L10140,53,85.2,1,3.07,14,8,61.6,4,4.1,0,82,22,free,mobile,West,yes,no
L10141,35,64.9,3,5.39,23,6,47.2,6,5.7,1,114,15,free,mobile,South,yes,yes
L10142,45,79.2,5,6.84,16,9,65.1,4,2.8,0,10,1,basic,mobile,South,yes,yes
L10143,30,55.6,0,2.52,13,6,72.0,5,2.8,1,104,4,basic,mobile,West,yes,no
L10144,43,84.6,2,2.74,14,1,68.6,5,4.7,3,35,8,basic,desktop,North,yes,no
L10145,40,77.8,1,3.11,18,6,38.3,4,1.5,0,86,4,free,desktop,South,yes,no
L10146,46,47.2,4,5.13,20,5,52.1,4,6.0,2,47,20,basic,mobile,South,yes,yes
L10147,41,61.6,0,2.55,15,1,90.7,7,3.6,0,56,15,free,mobile,West,yes,no
L10148,28,43.1,2,4.34,16,3,49.1,4,5.7,3,10,7,basic,desktop,West,yes,yes
L10149,46,59.5,0,7.75,15,6,60.9,2,4.1,1,70,8,premium,mobile,South,yes,no
L10150,39,78.8,5,3.77,14,3,65.7,1,2.0,0,44,0,free,desktop,West,yes,yes
L10151,48,92.0,5,1.07,10,4,78.1,2,3.4,0,102,6,premium,mobile,North,no,no
L10152,52,71.5,3,9.85,17,8,70.3,2,2.3,0,62,17,basic,desktop,North,yes,yes
L10153,56,90.9,5,2.18,16,8,59.8,1,4.8,0,33,2,free,tablet,South,yes,yes
L10154,54,41.2,1,2.4,15,9,48.1,5,2.8,0,23,21,free,desktop,South,yes,yes
L10155,36,63.9,4,1.33,17,10,32.2,2,0.0,0,61,14,basic,mobile,North,no,yes
L10156,53,69.3,5,2.08,19,10,42.2,1,4.9,2,107,13,free,desktop,North,yes,no
L10157,35,77.7,0,7.49,16,2,56.6,5,1.5,2,33,0,free,mobile,West,yes,no
L10158,17,79.9,3,5.63,25,4,49.8,2,4.0,0,94,11,free,tablet,South,yes,yes
L10159,20,83.9,3,20.87,18,7,100.0,3,3.8,1,45,0,free,desktop,West,no,yes
L10160,36,80.5,4,11.09,17,3,91.2,3,4.2,0,20,1,free,mobile,South,no,yes
L10161,49,82.2,4,6.67,24,7,46.6,3,2.8,1,25,16,basic,desktop,East,yes,no
L10162,30,89.5,5,4.72,19,4,56.1,2,4.5,1,55,22,free,mobile,North,yes,yes
L10163,43,50.2,3,1.29,14,10,27.9,4,4.6,1,13,4,basic,desktop,North,yes,no
L10164,22,64.4,4,11.55,22,8,60.2,1,6.2,1,112,23,basic,desktop,East,yes,yes
L10165,29,83.1,1,1.42,10,4,60.8,1,5.8,0,35,7,free,mobile,West,yes,no
L10166,50,48.2,2,8.14,10,3,85.1,3,3.6,1,5,13,free,mobile,North,yes,no
L10167,51,48.2,0,7.23,22,8,65.9,2,7.8,1,36,21,premium,desktop,West,no,yes
L10168,53,41.8,3,0.17,13,7,42.7,2,4.3,0,13,0,free,desktop,North,yes,no
L10169,37,61.0,3,6.71,25,5,86.0,2,1.6,0,27,18,free,desktop,West,no,yes
L10170,21,62.4,1,2.33,14,6,62.8,2,5.9,2,8,10,free,mobile,North,no,no
L10171,31,47.3,3,6.0,17,10,48.5,3,3.6,0,43,17,free,mobile,North,yes,no
L10172,52,89.0,0,4.86,17,4,54.8,4,0.8,1,31,3,free,desktop,West,yes,yes
L10173,36,53.0,4,2.15,17,8,40.5,4,5.4,1,12,8,free,tablet,East,yes,no
L10174,18,48.8,4,4.56,16,10,59.3,2,4.7,2,53,6,premium,desktop,North,yes,yes
L10175,42,42.8,2,8.8,16,7,50.0,1,4.2,1,40,17,free,desktop,East,yes,yes
L10176,45,63.5,0,0.36,14,1,53.3,3,6.5,0,16,11,free,tablet,East,yes,no
L10177,28,48.9,2,3.28,17,0,45.3,7,7.5,2,69,9,free,mobile,North,yes,no
L10178,55,67.6,3,4.4,13,5,41.0,5,4.0,1,114,11,free,desktop,North,yes,no
L10179,57,60.4,5,9.87,15,8,33.9,0,1.3,0,56,2,premium,desktop,East,no,yes
L10180,58,35.1,2,1.7,13,10,53.1,2,7.3,1,83,19,basic,desktop,West,no,no
L10181,50,49.0,0,3.3,16,2,65.4,1,4.7,2,26,10,premium,desktop,East,yes,yes
L10182,30,73.3,4,2.71,26,10,71.5,4,2.3,3,18,11,free,tablet,South,yes,no
L10183,25,66.9,0,4.67,14,3,43.7,3,6.3,1,5,10,free,mobile,South,yes,no
L10184,22,64.5,2,5.34,18,9,53.1,2,4.0,2,5,20,free,tablet,South,yes,yes
L10185,56,62.7,4,2.94,17,0,54.9,6,5.0,2,64,5,free,desktop,South,yes,no
L10186,18,75.9,1,3.49,17,1,16.8,1,0.0,0,16,7,free,desktop,West,yes,no
L10187,48,69.1,0,5.8,21,8,63.5,5,3.1,0,82,14,basic,mobile,East,yes,no
L10188,43,55.2,5,1.06,22,8,77.8,2,5.9,0,84,6,premium,mobile,West,yes,no
L10189,52,80.5,1,3.62,10,5,64.5,1,1.5,0,63,12,free,mobile,South,no,yes
L10190,33,78.6,3,2.41,16,0,60.8,2,3.5,0,84,23,basic,desktop,South,yes,no
L10191,53,41.5,1,3.68,23,7,88.9,3,3.3,0,51,0,free,desktop,North,yes,no
L10192,52,69.0,2,9.79,18,0,53.6,5,6.9,1,81,2,free,mobile,East,yes,no
L10193,30,57.9,1,3.44,21,1,50.0,3,4.4,1,85,2,premium,mobile,West,yes,no
L10194,55,60.4,2,6.14,18,4,90.6,5,4.4,0,47,15,free,mobile,South,yes,no
L10195,39,44.9,3,5.88,14,0,71.8,2,4.1,0,70,4,free,tablet,West,yes,no
L10196,23,54.5,0,1.02,18,2,49.1,4,4.3,2,22,3,free,desktop,North,yes,no
L10197,59,47.7,5,3.59,20,1,65.9,4,6.3,1,118,23,free,mobile,East,yes,no
L10198,34,66.3,3,2.52,18,0,81.0,2,4.7,0,5,19,basic,mobile,West,yes,no
L10199,54,80.4,3,6.7,22,6,55.5,6,3.2,0,61,15,free,desktop,West,no,no
L10200,45,58.5,0,1.96,11,4,64.1,2,3.3,2,102,6,free,desktop,North,yes,no
L10201,39,65.6,5,2.83,13,10,57.3,3,5.6,1,89,20,premium,mobile,North,yes,yes
L10202,55,87.6,3,3.12,19,6,44.0,2,1.6,2,74,8,free,desktop,North,yes,yes
L10203,20,54.1,3,4.17,18,7,49.3,1,7.2,0,25,10,basic,mobile,East,no,no
L10204,46,45.8,3,1.92,24,7,36.3,1,8.2,0,100,18,premium,mobile,West,yes,no
L10205,54,50.7,2,1.84,18,4,35.7,5,1.0,0,84,17,premium,mobile,East,no,no
L10206,31,62.8,5,2.91,13,2,34.6,1,6.1,0,22,3,free,tablet,North,yes,no
L10207,24,62.5,4,4.38,28,7,65.8,6,5.4,0,81,19,basic,tablet,North,yes,yes
L10208,39,55.6,0,2.21,12,0,70.2,4,2.0,3,31,6,free,desktop,South,yes,no
L10209,23,81.4,1,3.59,18,3,51.1,4,6.9,2,41,21,free,desktop,North,yes,no
L10210,54,89.5,2,6.47,21,6,34.6,2,1.5,0,118,15,basic,mobile,West,no,no
L10211,32,47.1,5,5.06,10,6,48.3,3,4.8,1,63,21,free,desktop,North,yes,no
L10212,23,55.0,2,4.83,20,5,65.9,0,4.6,1,105,5,free,tablet,North,yes,no
L10213,17,85.2,1,6.88,13,4,54.0,2,2.4,1,14,14,free,mobile,North,no,no
L10214,26,57.7,2,2.22,21,8,58.3,2,2.2,0,28,17,free,desktop,North,no,no
L10215,23,70.8,0,3.38,9,1,69.0,4,5.7,0,64,5,basic,tablet,North,yes,no
L10216,42,65.9,3,4.77,19,2,54.5,4,6.7,0,58,16,free,desktop,West,yes,no
L10217,32,92.1,3,9.06,15,0,40.8,1,3.4,2,35,0,basic,desktop,South,no,no
L10218,40,38.9,0,2.65,14,9,44.6,2,3.8,2,2,19,free,desktop,East,no,no
L10219,27,54.0,3,1.63,15,8,47.3,2,3.9,2,83,16,premium,mobile,West,yes,yes
L10220,18,73.2,3,3.15,19,0,67.3,3,3.5,3,68,8,free,mobile,West,no,no
L10221,21,58.9,1,1.0,32,9,52.4,3,4.0,1,32,3,premium,mobile,South,yes,no
L10222,47,57.9,1,7.75,13,10,69.0,2,0.1,1,2,7,free,mobile,South,yes,no
L10223,31,72.4,0,5.05,17,9,25.9,1,7.5,0,104,5,basic,mobile,North,no,yes
L10224,59,61.4,1,6.1,24,4,87.6,0,6.0,0,101,2,premium,tablet,South,yes,yes
L10225,36,81.6,2,9.06,21,10,45.4,1,3.5,1,5,13,free,desktop,West,yes,yes
L10226,37,54.9,1,5.31,11,8,51.3,0,4.8,1,106,9,basic,desktop,North,yes,yes
L10227,26,93.8,3,8.56,21,8,43.2,3,2.9,2,41,2,free,desktop,East,yes,yes
L10228,45,45.0,5,5.17,25,10,17.3,6,5.6,0,21,5,basic,desktop,West,yes,yes
L10229,39,36.5,4,17.86,25,9,54.0,4,6.6,1,60,2,premium,desktop,South,yes,yes
L10230,26,44.8,3,10.3,18,0,47.1,2,4.6,0,68,22,free,desktop,North,yes,yes
L10231,20,67.5,4,9.26,20,4,49.5,2,3.9,0,10,4,free,mobile,North,yes,yes
L10232,31,61.5,3,6.42,14,5,81.0,2,7.3,0,92,1,free,desktop,West,yes,no
L10233,31,38.2,0,4.13,17,7,46.4,2,5.0,1,110,13,free,mobile,South,yes,no
L10234,18,58.8,3,8.47,24,10,54.3,0,4.0,1,86,14,free,tablet,East,no,yes
L10235,35,55.2,5,9.0,18,6,67.2,4,3.1,1,72,2,premium,desktop,South,no,yes
L10236,41,45.8,5,2.24,16,2,81.3,3,2.1,0,32,3,free,mobile,South,no,no
L10237,34,68.2,2,2.93,13,3,43.4,5,8.0,1,14,15,free,mobile,East,yes,no
L10238,20,54.9,0,6.44,10,2,41.0,4,6.0,2,88,13,free,desktop,North,yes,no
L10239,28,86.0,2,3.81,21,6,41.8,1,1.6,1,15,4,free,mobile,West,yes,yes
L10240,28,53.5,1,6.6,23,9,55.3,3,2.3,1,85,4,premium,desktop,South,yes,no
L10241,32,45.4,1,2.75,21,1,58.5,3,5.7,1,48,6,free,desktop,South,yes,no
L10242,49,65.5,1,1.99,20,10,41.4,4,1.2,0,115,19,premium,desktop,North,yes,yes
L10243,17,74.9,0,7.76,16,9,66.8,3,1.0,1,38,12,free,mobile,West,no,no
L10244,33,57.4,0,2.73,24,1,91.9,0,5.4,3,63,13,basic,mobile,East,yes,yes
L10245,50,61.3,1,6.88,16,8,84.2,4,1.9,2,59,8,free,mobile,South,yes,yes
L10246,40,26.1,0,0.36,17,3,64.5,1,6.2,1,21,13,free,desktop,North,yes,no
L10247,29,77.0,5,6.15,22,8,38.3,1,3.2,1,90,7,basic,mobile,South,yes,yes
L10248,33,52.0,2,3.11,14,7,37.1,5,3.0,1,46,17,free,mobile,South,yes,no
L10249,26,65.7,1,3.01,15,3,54.2,2,5.7,2,79,21,free,desktop,North,yes,no
L10250,56,66.8,4,2.3,17,0,33.5,6,6.6,0,22,14,free,mobile,South,yes,no
L10251,44,55.1,4,9.47,24,3,57.6,4,1.3,0,60,23,basic,mobile,West,yes,yes
L10252,39,64.8,0,12.97,20,0,75.4,1,3.9,0,22,21,free,desktop,East,yes,yes
L10253,36,70.0,3,4.36,20,7,87.5,2,4.1,2,97,20,free,mobile,South,yes,no
L10254,41,72.6,0,2.44,16,8,63.0,4,3.1,0,102,15,basic,mobile,South,no,no
L10255,26,59.8,4,2.31,13,6,61.8,3,4.4,0,43,11,basic,mobile,North,yes,yes
L10256,52,23.4,2,12.35,16,7,61.9,4,4.9,0,37,16,free,mobile,South,no,no
L10257,46,37.0,3,6.67,20,6,60.3,1,7.2,1,113,15,premium,mobile,East,yes,no
L10258,46,34.2,5,14.11,15,9,94.5,4,5.1,1,91,4,basic,mobile,South,yes,yes
L10259,31,57.7,0,1.61,18,0,71.2,1,5.4,3,63,10,basic,mobile,East,yes,no
L10260,38,68.8,1,1.61,13,10,40.0,3,0.4,1,78,21,basic,desktop,North,yes,no
L10261,42,69.8,4,4.59,10,3,46.3,1,5.1,1,37,17,basic,mobile,North,yes,no
L10262,42,58.9,3,4.57,30,6,28.3,2,4.5,2,79,15,basic,desktop,West,yes,no
L10263,36,30.4,0,0.17,16,2,48.5,1,5.5,3,86,21,premium,mobile,North,yes,no
L10264,51,57.3,4,2.96,22,4,43.8,1,5.4,1,77,20,basic,desktop,East,yes,no
L10265,32,81.2,1,14.5,20,5,27.6,3,4.1,0,101,12,free,desktop,South,yes,yes
L10266,59,81.9,1,6.03,19,9,60.7,5,3.4,0,10,15,free,mobile,West,yes,no
L10267,40,73.7,1,4.44,18,1,38.0,4,6.5,0,58,9,free,mobile,South,yes,no
L10268,39,46.1,4,1.14,18,0,62.4,4,3.4,0,66,13,basic,desktop,North,yes,no
L10269,23,67.0,1,1.1,21,2,47.6,4,4.4,2,93,13,basic,mobile,West,yes,no
L10270,28,62.2,1,2.04,20,9,72.0,3,0.0,0,103,10,free,desktop,South,yes,no
L10271,42,71.9,0,2.79,23,8,58.3,3,3.4,2,87,16,free,tablet,East,yes,no
L10272,39,82.0,5,2.12,21,5,45.7,1,1.3,1,89,18,premium,tablet,East,yes,yes
L10273,47,76.4,0,3.29,27,4,53.7,3,1.4,1,99,20,free,mobile,South,yes,no
L10274,54,60.7,1,3.62,17,2,59.9,5,0.4,0,60,23,basic,mobile,North,yes,no
L10275,37,60.0,2,2.46,21,0,49.0,2,4.0,0,52,23,free,mobile,East,yes,no
L10276,41,62.0,0,3.07,13,4,60.3,9,7.8,2,19,17,premium,desktop,East,yes,no
L10277,24,84.1,5,2.45,15,9,47.9,2,4.0,0,79,3,free,tablet,East,yes,no
