home_id,relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_distribution,wall_insul_rating,window_age,heating_load
H1034,0.744,745.5,373.8,162.1,3.5,2,0.1,3,2.1,11,89.0
H1035,0.961,628.9,399.5,140.9,7.0,3,0.25,1,4.33,27,82.3
H1036,0.823,568.5,280.9,116.8,7.0,4,0.25,5,2.56,24,93.38
H1037,0.776,642.2,327.6,178.2,7.0,5,0.1,0,3.7,23,92.66
H1038,0.944,732.5,368.0,115.0,7.0,2,0.0,4,3.73,13,88.17
H1039,0.735,763.7,296.5,179.3,7.0,2,0.25,2,4.19,22,99.76
H1040,0.871,780.2,347.2,215.9,3.5,4,0.1,0,3.28,8,75.7
H1041,0.733,806.8,250.1,155.9,3.5,5,0.1,1,2.4,14,86.75
H1042,0.714,606.4,300.0,182.1,3.5,2,0.25,3,1.29,6,94.38
H1043,0.872,761.2,295.2,111.0,3.5,3,0.4,5,1.19,8,81.4
H1044,0.702,808.6,359.6,149.1,7.0,5,0.25,3,3.03,20,112.46
H1045,0.798,596.5,351.8,122.1,7.0,5,0.25,0,4.4,12,89.82
H1046,0.829,515.5,361.8,137.9,3.5,5,0.25,5,1.98,27,76.27
H1047,0.688,556.0,395.1,112.7,7.0,3,0.4,0,4.36,18,98.11
H1048,0.883,743.4,405.0,164.1,7.0,5,0.4,5,2.4,15,100.95
H1049,0.817,751.1,262.8,195.5,3.5,3,0.25,5,4.89,15,80.68
H1050,0.844,590.6,354.0,190.5,3.5,2,0.25,1,4.4,10,71.19
H1051,0.754,791.4,303.1,218.2,3.5,2,0.0,1,1.37,16,80.1
H1052,0.771,583.8,299.3,209.2,7.0,4,0.25,5,3.64,9,87.12
H1053,0.798,728.9,386.3,187.8,3.5,4,0.25,0,4.63,9,81.88
H1054,0.789,568.4,335.4,193.6,3.5,4,0.25,4,2.26,4,78.34
H1055,0.863,737.4,320.8,174.1,3.5,5,0.4,0,3.07,4,79.14
H1056,0.828,529.0,277.9,112.0,7.0,2,0.4,4,4.23,20,75.86
H1057,0.77,688.1,371.6,194.2,7.0,3,0.0,4,3.23,18,88.41
H1058,0.621,616.9,393.4,177.6,3.5,2,0.25,5,4.13,5,90.49
H1059,0.906,708.4,359.0,212.7,7.0,3,0.25,1,1.56,21,95.6
H1060,0.807,775.6,368.3,130.5,3.5,5,0.0,3,4.7,12,76.83
H1061,0.738,609.0,263.7,212.5,7.0,4,0.4,0,1.5,29,97.31
H1062,0.8,794.6,299.1,127.9,3.5,3,0.4,0,2.24,21,81.87
H1063,0.654,647.3,325.2,117.1,3.5,4,0.1,4,3.76,25,87.91
H1064,0.946,632.0,378.6,179.6,7.0,4,0.1,5,2.38,22,87.34
H1065,0.976,574.3,261.8,145.7,7.0,5,0.4,3,4.7,18,71.85
H1066,0.641,530.4,280.4,168.6,3.5,5,0.1,0,2.28,12,79.47
H1067,0.749,532.0,407.7,151.5,3.5,2,0.1,2,2.09,16,76.12
H1068,0.883,764.8,269.4,129.9,3.5,4,0.0,0,4.23,13,67.49
H1069,0.733,516.2,370.3,204.3,3.5,5,0.4,0,3.71,5,75.13
H1070,0.824,705.2,315.2,198.3,7.0,4,0.0,4,2.15,18,88.15
H1071,0.77,693.8,394.9,141.5,3.5,5,0.25,1,1.25,18,89.19
H1072,0.899,687.2,256.7,146.7,3.5,5,0.1,5,2.65,5,72.91
H1073,0.965,649.7,370.9,194.2,3.5,4,0.1,4,2.4,0,75.18
H1074,0.94,532.9,407.4,160.1,3.5,5,0.25,5,4.53,4,70.14
H1075,0.844,570.8,364.9,187.0,3.5,2,0.25,4,4.62,10,73.19
H1076,0.678,718.9,307.2,210.9,7.0,5,0.1,1,3.17,4,98.56
H1077,0.961,776.8,410.4,202.1,7.0,4,0.1,3,4.87,2,88.11
H1078,0.629,656.2,382.2,175.7,3.5,5,0.1,0,2.3,4,92.24
H1079,0.727,629.2,361.0,196.7,7.0,3,0.25,1,3.47,29,96.48
H1080,0.721,759.9,290.8,130.4,7.0,2,0.25,4,2.18,20,105.9
H1081,0.862,525.9,373.8,202.7,7.0,5,0.25,2,1.2,22,91.36
H1082,0.795,690.6,400.0,137.4,3.5,4,0.0,0,1.39,10,83.11
H1083,0.653,800.5,354.2,156.5,7.0,4,0.25,4,1.06,7,122.91
H1084,0.625,640.9,310.6,177.0,7.0,3,0.1,0,1.38,4,104.99
H1085,0.838,603.0,412.6,145.7,7.0,3,0.1,4,4.98,24,89.28
H1086,0.797,623.9,255.0,200.9,7.0,2,0.0,3,1.35,8,86.79
H1087,0.836,683.5,300.0,175.4,7.0,3,0.0,5,4.5,11,86.2
H1088,0.823,774.1,409.5,214.5,3.5,5,0.1,0,4.59,9,80.4
H1089,0.941,729.1,350.9,140.7,7.0,3,0.1,2,3.11,10,89.92
H1090,0.951,615.0,261.7,187.0,7.0,2,0.1,0,3.07,26,75.18
H1091,0.688,626.9,341.0,126.9,7.0,5,0.4,5,3.78,19,101.84
H1092,0.959,701.3,415.7,128.9,3.5,5,0.4,4,1.99,25,81.54
H1093,0.904,699.3,403.9,166.7,7.0,4,0.25,5,2.15,7,94.22
H1094,0.85,547.6,297.8,209.1,3.5,4,0.1,5,1.04,14,77.62
H1095,0.857,684.2,287.6,162.0,3.5,4,0.1,5,1.69,1,78.93
H1096,0.817,734.4,290.9,171.4,7.0,3,0.25,0,3.2,23,97.7
H1097,0.95,551.5,282.3,214.6,3.5,4,0.0,0,2.23,15,61.36
H1098,0.704,742.9,278.1,132.4,7.0,3,0.1,4,4.32,18,97.92
H1099,0.836,557.8,296.9,202.5,7.0,2,0.1,1,4.24,26,84.96
H1100,0.913,539.5,379.4,194.1,3.5,2,0.0,0,2.59,1,63.65
H1101,0.669,678.4,335.2,183.3,7.0,4,0.1,3,3.86,7,97.05
H1102,0.842,744.4,283.3,151.7,7.0,4,0.4,2,4.3,23,92.97
H1103,0.765,695.8,388.0,205.3,3.5,2,0.1,3,4.12,13,81.82
H1104,0.896,693.0,319.5,216.7,3.5,2,0.25,5,4.79,2,75.47
H1105,0.644,541.2,271.3,152.4,7.0,2,0.25,2,1.84,1,98.52
H1106,0.838,684.8,352.2,155.9,3.5,4,0.25,5,3.39,23,83.32
H1107,0.929,665.9,254.1,191.0,7.0,3,0.1,0,2.87,29,79.27
H1108,0.846,518.2,248.8,167.7,7.0,5,0.1,0,1.01,6,87.54
H1109,0.736,740.0,378.5,132.7,3.5,4,0.25,5,3.87,3,90.84
H1110,0.856,578.8,297.7,207.9,3.5,5,0.1,5,1.35,20,71.88
H1111,0.742,650.8,351.0,184.3,7.0,4,0.0,2,1.74,22,96.36
H1112,0.861,648.8,321.2,158.5,3.5,4,0.25,4,4.0,5,77.36
H1113,0.666,714.7,415.0,155.3,7.0,5,0.4,1,4.73,10,104.49
H1114,0.721,768.3,260.0,179.3,7.0,2,0.25,3,3.91,22,102.12
H1115,0.632,744.1,413.4,144.0,3.5,3,0.1,0,4.53,2,90.52
H1116,0.65,576.6,363.8,178.1,3.5,2,0.4,3,3.06,8,81.98
H1117,0.82,581.5,415.5,122.9,7.0,4,0.4,3,2.95,27,89.68
H1118,0.703,640.4,276.7,153.1,7.0,4,0.25,4,2.14,3,101.23
H1119,0.806,621.8,295.4,198.9,3.5,3,0.1,1,1.28,3,79.29
H1120,0.857,726.1,265.2,125.3,7.0,3,0.1,1,1.67,23,89.62
H1121,0.937,675.6,414.2,187.1,7.0,5,0.25,4,1.89,1,96.66
H1122,0.748,646.9,295.0,188.5,7.0,3,0.1,1,4.49,7,93.76
H1123,0.735,692.3,287.4,191.5,3.5,4,0.1,0,1.01,11,91.36
H1124,0.733,626.4,338.0,113.6,3.5,4,0.25,3,2.69,29,85.34
H1125,0.662,767.1,396.1,200.9,3.5,3,0.25,1,4.89,4,97.02
H1126,0.859,734.5,338.2,138.6,7.0,4,0.4,4,4.63,13,86.73
H1127,0.915,748.8,247.6,129.1,3.5,3,0.0,2,1.44,21,76.42
H1128,0.79,806.4,300.6,121.4,7.0,4,0.25,0,3.98,4,103.05
H1129,0.821,716.7,352.9,175.6,3.5,3,0.25,2,4.49,27,80.44
H1130,0.965,706.4,326.6,189.0,7.0,3,0.25,4,1.75,25,93.02
H1131,0.872,740.0,281.5,180.2,3.5,4,0.25,2,2.01,5,75.29
H1132,0.888,700.7,304.8,211.6,3.5,2,0.25,2,3.73,23,75.66
H1133,0.94,795.7,318.1,152.5,3.5,5,0.4,3,4.03,23,75.82
H1134,0.698,634.0,246.9,121.4,3.5,5,0.1,1,4.5,23,78.76
H1135,0.854,622.9,351.6,142.1,7.0,2,0.1,4,2.59,15,92.85
H1136,0.878,539.3,390.5,131.7,7.0,3,0.1,2,1.19,19,91.91
H1137,0.923,792.1,273.6,189.3,7.0,3,0.0,1,4.91,3,78.78
H1138,0.744,538.2,380.6,195.1,7.0,5,0.25,5,2.04,18,98.73
H1139,0.868,782.5,313.0,162.8,3.5,4,0.1,1,4.08,13,76.61
H1140,0.838,618.6,290.1,138.9,7.0,4,0.25,2,4.68,16,90.48
H1141,0.767,806.5,343.3,160.2,7.0,3,0.25,5,3.16,16,105.53
H1142,0.657,552.7,275.6,183.6,7.0,5,0.1,3,3.09,5,97.11
H1143,0.747,585.3,297.3,128.7,3.5,4,0.25,3,1.96,8,88.68
H1144,0.967,747.2,384.1,167.6,3.5,2,0.25,0,1.24,7,85.26
H1145,0.698,628.8,319.7,136.1,7.0,5,0.1,0,1.44,3,95.21
H1146,0.661,644.1,409.6,194.3,3.5,2,0.1,0,3.89,5,83.82
H1147,0.752,573.3,291.7,167.8,7.0,4,0.4,3,1.8,17,92.08
H1148,0.656,560.1,285.6,163.5,7.0,4,0.25,3,2.98,7,98.49
H1149,0.716,767.3,336.6,166.7,3.5,5,0.1,1,3.07,25,89.38
H1150,0.949,688.6,383.5,147.8,3.5,2,0.0,3,4.71,2,66.15
H1151,0.735,745.9,381.1,204.0,7.0,2,0.0,4,3.16,10,99.51
H1152,0.831,622.1,285.5,112.4,3.5,5,0.1,1,3.46,26,72.14
H1153,0.706,657.6,278.5,139.4,3.5,4,0.25,0,4.24,1,83.55
H1154,0.86,784.2,301.9,144.4,3.5,2,0.0,1,2.21,18,76.71
H1155,0.666,781.0,313.8,130.0,7.0,4,0.25,4,3.75,18,110.07
H1156,0.904,689.7,277.2,185.6,7.0,5,0.0,0,1.39,25,86.64
H1157,0.772,715.0,275.1,112.8,7.0,4,0.25,1,1.28,28,98.76
H1158,0.686,536.1,371.8,177.2,3.5,3,0.1,1,4.88,7,74.99
H1159,0.893,615.5,297.5,191.5,3.5,2,0.0,1,2.26,29,72.85
H1160,0.82,681.4,403.7,140.4,3.5,3,0.4,2,2.83,1,84.82
H1161,0.778,644.4,336.3,140.2,7.0,2,0.1,2,1.61,25,99.26
H1162,0.707,604.7,250.7,160.2,7.0,3,0.4,4,2.22,10,91.62
H1163,0.901,721.3,368.0,147.3,3.5,4,0.0,4,4.61,3,69.34
H1164,0.752,583.5,275.9,139.7,7.0,2,0.25,3,4.73,15,84.14
H1165,0.636,782.5,315.9,181.2,7.0,2,0.4,3,3.5,14,107.55
H1166,0.968,575.1,319.6,140.2,7.0,5,0.25,0,1.82,5,85.14
H1167,0.631,725.8,252.4,186.4,7.0,4,0.25,2,4.82,15,104.22
H1168,0.663,659.8,400.0,150.5,3.5,4,0.25,2,4.13,28,94.0
H1169,0.788,730.2,293.1,202.7,7.0,4,0.1,4,1.39,4,99.18
H1170,0.695,633.6,348.3,214.2,3.5,3,0.25,4,3.73,13,86.22
H1171,0.741,618.4,288.7,191.2,7.0,5,0.4,4,2.65,2,95.6
H1172,0.824,704.1,345.4,148.6,3.5,4,0.4,5,1.14,8,82.98
H1173,0.965,798.1,390.7,176.2,3.5,5,0.25,2,1.99,18,85.82
H1174,0.957,717.1,275.8,195.6,7.0,3,0.0,5,3.19,3,75.74
H1175,0.647,518.8,317.0,149.8,7.0,4,0.0,4,3.3,1,91.95
H1176,0.927,523.1,334.9,170.0,7.0,2,0.1,0,4.86,22,76.16
H1177,0.68,576.9,262.8,123.7,3.5,5,0.25,4,2.87,26,82.81
H1178,0.912,618.2,346.9,163.5,7.0,3,0.1,2,2.38,11,84.61
H1179,0.727,561.0,415.9,155.3,3.5,4,0.25,3,4.55,14,80.1
H1180,0.878,795.3,383.0,140.5,7.0,2,0.25,1,3.04,26,98.57
H1181,0.879,592.4,333.7,135.0,3.5,4,0.25,1,3.18,3,74.37
H1182,0.926,649.3,279.7,123.2,3.5,4,0.25,0,1.78,21,72.58
H1183,0.973,555.5,263.3,119.8,7.0,3,0.4,5,4.14,11,69.54
H1184,0.719,604.0,394.9,112.4,7.0,3,0.4,2,4.13,24,102.08
H1185,0.846,675.0,371.2,122.4,3.5,5,0.0,4,3.23,19,75.91
H1186,0.886,637.5,376.4,217.1,7.0,5,0.4,3,2.48,0,87.76
H1187,0.649,540.2,325.0,129.1,3.5,2,0.4,0,3.31,6,79.89
H1188,0.859,734.6,253.1,152.7,7.0,5,0.1,3,4.29,27,88.52
H1189,0.736,800.0,342.8,219.0,7.0,2,0.0,4,3.71,6,98.24
H1190,0.678,583.5,331.6,154.3,3.5,4,0.1,5,4.58,25,77.24
H1191,0.818,579.4,252.6,205.3,3.5,4,0.1,4,2.74,10,69.99
H1192,0.786,736.8,311.0,139.0,7.0,5,0.25,2,3.61,14,100.55
H1193,0.828,648.0,355.9,215.3,7.0,4,0.25,4,3.29,5,101.0
H1194,0.851,525.9,267.9,158.8,3.5,5,0.1,0,3.61,6,69.09
H1195,0.8,528.2,291.3,183.0,7.0,2,0.0,1,2.98,0,81.66
H1196,0.946,803.5,283.4,145.3,3.5,5,0.0,1,3.23,25,68.15
H1197,0.684,727.4,371.5,132.8,3.5,5,0.25,1,2.65,29,95.68
H1198,0.724,666.0,311.0,131.8,7.0,2,0.25,5,3.14,11,96.77
H1199,0.748,560.7,354.7,136.1,3.5,5,0.1,4,2.1,20,83.34
H1200,0.899,782.6,313.3,170.4,7.0,2,0.25,0,4.6,28,91.52
H1201,0.855,624.7,318.2,172.0,7.0,2,0.1,2,2.31,25,87.71
H1202,0.694,610.8,266.1,186.8,3.5,3,0.25,4,4.49,15,82.49
H1203,0.888,747.1,318.3,154.0,3.5,5,0.1,3,4.29,19,75.28
H1204,0.898,755.4,415.7,124.9,3.5,4,0.25,2,3.84,22,81.62
H1205,0.897,519.7,373.6,178.3,3.5,2,0.1,5,3.47,7,68.07
H1206,0.648,676.3,363.4,122.2,7.0,3,0.25,0,4.2,19,110.64
H1207,0.696,617.6,383.0,213.8,7.0,5,0.4,2,3.95,19,98.55
H1208,0.942,800.2,255.8,193.6,7.0,2,0.1,4,3.15,10,89.23
H1209,0.937,606.8,381.8,173.0,7.0,3,0.25,0,1.12,14,87.1
H1210,0.694,602.7,380.9,122.2,7.0,5,0.1,5,2.81,22,104.21
H1211,0.818,708.2,357.8,161.8,3.5,2,0.1,1,2.33,7,79.06
H1212,0.715,780.6,401.4,126.9,7.0,3,0.0,3,4.9,22,98.35
H1213,0.77,703.4,255.8,217.8,3.5,3,0.25,5,2.43,12,81.71
H1214,0.628,679.1,260.4,155.8,7.0,4,0.4,0,3.67,22,98.29
H1215,0.721,549.6,402.6,182.3,7.0,4,0.1,0,2.06,11,97.18
H1216,0.717,589.8,315.2,122.7,3.5,3,0.1,0,4.87,4,73.2
H1217,0.951,749.7,406.7,157.1,7.0,4,0.25,5,4.9,29,91.28
H1218,0.832,554.2,326.4,128.0,7.0,4,0.1,4,3.28,5,84.3
H1219,0.684,791.4,319.2,173.4,3.5,3,0.4,1,4.98,25,83.04
H1220,0.774,793.5,382.9,218.0,7.0,3,0.25,1,2.56,8,105.22
H1221,0.797,702.5,324.5,158.0,3.5,4,0.25,4,1.09,7,89.9
H1222,0.849,603.2,275.5,187.9,7.0,3,0.25,0,4.71,9,85.37
H1223,0.812,786.6,318.4,119.8,3.5,3,0.25,2,2.04,0,86.38
H1224,0.772,749.3,280.5,137.5,3.5,2,0.25,4,3.22,18,87.3
H1225,0.732,731.4,399.7,123.8,7.0,3,0.4,3,4.7,18,105.45
H1226,0.827,555.8,390.7,129.7,3.5,5,0.4,3,1.96,7,74.6
H1227,0.971,694.1,266.5,127.9,7.0,4,0.25,0,3.14,0,81.67
H1228,0.819,755.1,304.1,181.0,7.0,5,0.25,1,3.19,3,102.25
H1229,0.939,582.4,383.9,160.9,7.0,4,0.25,3,3.19,27,85.36
H1230,0.625,590.3,249.0,173.6,3.5,4,0.4,2,3.48,2,82.01
H1231,0.693,646.0,245.5,177.3,7.0,5,0.1,4,2.71,29,94.45
H1232,0.931,751.0,276.7,146.9,3.5,5,0.25,0,2.81,23,77.74
H1233,0.825,542.5,404.2,203.8,7.0,2,0.4,1,3.72,13,90.03
H1234,0.796,721.2,327.3,167.2,3.5,2,0.0,0,4.77,24,70.36
H1235,0.753,684.1,274.9,206.2,7.0,5,0.1,1,4.67,3,94.95
H1236,0.726,723.2,281.5,197.1,7.0,4,0.1,5,2.4,29,97.63
H1237,0.864,559.5,268.3,187.3,7.0,2,0.4,4,2.21,19,82.68
H1238,0.752,798.7,343.1,165.7,3.5,5,0.1,1,3.04,11,87.51
H1239,0.777,559.9,279.5,201.6,3.5,2,0.1,1,4.24,26,72.35
H1240,0.9,757.2,351.0,185.1,3.5,4,0.0,1,3.99,2,73.5
H1241,0.961,516.7,412.1,192.1,3.5,4,0.4,4,1.54,17,67.99
H1242,0.978,726.3,350.9,116.8,3.5,2,0.25,4,4.78,16,75.97
H1243,0.795,603.9,285.3,153.7,7.0,2,0.25,2,2.72,24,91.52
H1244,0.67,625.6,273.0,182.2,7.0,4,0.25,0,2.08,2,101.57
H1245,0.629,773.5,293.2,117.8,7.0,4,0.25,3,3.42,22,110.4
H1246,0.798,630.1,327.2,165.7,3.5,2,0.4,3,2.52,0,77.04
H1247,0.647,671.5,281.4,169.4,3.5,3,0.1,0,3.98,3,84.42
H1248,0.662,695.8,246.2,138.6,7.0,3,0.4,2,4.05,20,98.19
H1249,0.705,517.4,380.3,142.1,7.0,5,0.1,2,4.45,17,88.2
H1250,0.977,718.0,340.9,190.1,3.5,4,0.1,4,4.2,3,69.33
H1251,0.678,793.9,369.3,118.9,3.5,5,0.4,1,4.99,10,95.92
H1252,0.66,632.5,312.7,111.1,7.0,2,0.1,3,1.93,6,100.43
H1253,0.95,762.5,283.8,212.5,7.0,3,0.1,0,3.22,28,91.49
H1254,0.844,581.6,348.9,188.3,7.0,4,0.0,3,2.71,16,87.27
H1255,0.886,675.1,316.3,171.2,3.5,4,0.4,3,4.25,22,74.57
H1256,0.748,586.3,293.0,195.0,3.5,2,0.4,2,3.78,2,76.78
H1257,0.956,575.3,390.6,139.3,3.5,2,0.25,0,2.94,3,71.94
H1258,0.971,701.9,411.0,185.3,3.5,2,0.4,5,3.86,27,74.32
H1259,0.821,522.4,379.0,175.6,7.0,4,0.4,1,2.89,9,92.55
H1260,0.975,806.0,398.4,142.9,7.0,2,0.0,2,4.73,7,80.96
H1261,0.802,720.8,346.5,142.0,7.0,5,0.25,0,2.82,13,103.81
H1262,0.778,593.4,287.8,163.4,7.0,3,0.25,2,2.38,8,92.77
H1263,0.903,692.3,389.6,119.7,7.0,4,0.4,4,2.97,29,97.28
H1264,0.852,530.2,369.5,188.9,7.0,3,0.25,5,2.74,11,93.77
H1265,0.692,710.1,269.7,210.6,3.5,3,0.1,0,2.93,22,86.91
H1266,0.805,762.8,413.1,209.7,3.5,3,0.25,5,3.9,27,90.28
H1267,0.626,752.3,405.9,174.8,7.0,3,0.25,4,2.77,24,111.82
H1268,0.935,552.1,308.8,133.3,7.0,5,0.1,4,3.01,14,83.19
H1269,0.815,557.6,321.6,110.9,3.5,3,0.1,2,1.29,5,78.67
H1270,0.637,708.2,315.1,169.8,3.5,4,0.25,3,4.05,2,92.47
H1271,0.958,598.1,331.2,137.2,3.5,5,0.4,2,4.86,17,68.37
H1272,0.98,788.3,290.9,141.8,3.5,4,0.1,5,3.8,6,72.56
H1273,0.885,682.4,272.4,183.2,3.5,4,0.25,4,4.48,21,70.74
H1274,0.775,680.2,405.6,123.5,3.5,3,0.25,3,2.29,21,89.04
H1275,0.833,738.0,359.7,176.2,3.5,2,0.25,0,4.65,8,81.93
H1276,0.624,774.4,413.6,192.1,3.5,2,0.1,1,1.35,10,98.77
H1277,0.659,650.3,364.4,113.8,7.0,3,0.0,2,4.96,28,95.42
H1278,0.739,679.8,300.5,171.7,3.5,3,0.4,2,4.6,4,79.31
H1279,0.768,536.9,382.0,189.4,7.0,3,0.0,1,4.99,7,82.13
H1280,0.892,786.7,286.6,157.6,7.0,5,0.4,4,2.42,23,96.29
H1281,0.681,777.9,415.8,143.2,7.0,3,0.1,2,1.14,25,109.94
H1282,0.662,530.2,310.7,127.2,3.5,4,0.1,3,4.11,28,80.74
H1283,0.871,617.7,316.2,215.1,3.5,5,0.1,4,1.53,23,76.39
H1284,0.94,777.4,363.2,154.8,7.0,4,0.0,4,3.99,17,85.01
H1285,0.937,687.1,297.1,131.5,3.5,5,0.25,4,2.51,28,76.82
H1286,0.887,608.3,321.1,115.6,3.5,5,0.25,2,1.6,0,71.84
H1287,0.974,618.2,304.6,135.8,7.0,3,0.1,1,2.26,24,83.91
H1288,0.808,710.1,249.1,201.1,7.0,3,0.1,3,1.39,6,96.44
H1289,0.899,717.3,345.5,130.4,3.5,4,0.25,3,2.98,19,79.78
H1290,0.77,557.6,343.4,183.8,7.0,2,0.4,1,2.12,20,91.93
H1291,0.747,645.9,304.7,210.8,7.0,2,0.1,4,2.02,18,93.69
H1292,0.948,760.3,308.4,152.3,7.0,2,0.25,3,1.02,15,91.95
H1293,0.775,759.9,251.5,168.3,3.5,3,0.25,3,4.05,5,78.82
H1294,0.889,720.2,297.8,127.1,3.5,4,0.0,5,4.17,27,69.2
H1295,0.799,752.5,371.0,135.1,7.0,4,0.0,4,3.21,2,90.09
H1296,0.66,716.6,328.9,152.5,3.5,4,0.25,0,3.32,1,89.33
H1297,0.666,760.7,276.6,185.1,7.0,3,0.4,0,4.0,12,102.08
H1298,0.804,618.9,267.7,163.4,7.0,2,0.25,3,4.87,22,86.38
H1299,0.875,535.0,327.5,203.4,3.5,3,0.25,3,4.33,12,65.17
H1300,0.887,542.1,325.7,192.3,7.0,5,0.25,5,3.21,28,88.49
H1301,0.741,689.1,323.7,172.5,3.5,4,0.1,1,4.78,9,78.37
H1302,0.623,517.7,345.9,157.7,3.5,4,0.25,4,3.65,17,81.91
H1303,0.812,762.1,304.7,171.5,7.0,2,0.1,2,2.45,12,94.84
H1304,0.688,570.0,312.5,157.8,7.0,3,0.1,1,3.83,3,96.28
H1305,0.735,755.0,301.2,161.4,7.0,3,0.1,1,3.79,10,98.89
H1306,0.824,618.9,351.5,143.5,3.5,2,0.25,5,4.84,28,75.78
H1307,0.761,545.4,250.8,128.8,3.5,4,0.0,1,3.08,5,71.09
H1308,0.785,623.1,365.3,216.1,7.0,5,0.4,2,2.84,3,93.59
H1309,0.638,516.7,382.2,115.2,3.5,4,0.1,3,1.07,20,88.4
H1310,0.686,573.3,307.5,115.6,3.5,2,0.25,1,3.17,16,80.75
H1311,0.923,557.2,250.1,122.0,7.0,5,0.25,5,2.1,7,84.3
H1312,0.804,801.8,365.3,154.0,3.5,2,0.1,5,4.12,22,81.93
H1313,0.939,641.8,353.5,166.1,3.5,2,0.25,5,4.62,13,71.2
H1314,0.929,675.9,373.8,143.6,7.0,2,0.1,4,4.55,13,81.59
H1315,0.69,530.5,268.9,191.8,7.0,5,0.1,2,1.36,24,95.09
H1316,0.764,531.4,342.8,149.6,3.5,4,0.25,3,3.49,29,80.58
H1317,0.809,691.4,310.9,123.5,3.5,2,0.25,1,3.65,3,81.83
H1318,0.655,613.7,255.6,157.1,7.0,5,0.25,0,2.05,2,100.35
H1319,0.651,601.5,353.6,158.9,7.0,4,0.4,3,3.07,26,99.63
H1320,0.923,562.2,331.4,166.0,3.5,5,0.25,3,3.38,6,69.19
H1321,0.918,737.7,382.6,142.8,7.0,3,0.25,4,2.06,28,91.08
H1322,0.758,791.9,305.2,155.3,3.5,3,0.25,0,2.69,2,91.71
H1323,0.874,622.8,314.9,148.3,3.5,5,0.25,4,4.37,17,74.25
H1324,0.806,625.0,289.4,129.9,3.5,2,0.25,2,1.79,20,77.93
H1325,0.889,600.2,328.4,149.3,7.0,2,0.25,2,4.99,16,84.33
H1326,0.733,565.6,326.3,180.9,3.5,3,0.4,1,3.57,7,79.56
H1327,0.791,606.8,257.2,217.4,7.0,2,0.25,3,4.99,9,82.99
H1328,0.941,756.4,409.0,164.2,7.0,4,0.4,3,3.2,24,93.49
H1329,0.914,538.6,385.8,163.6,7.0,4,0.25,5,4.08,0,86.34
